GeneID,logFC,PValue,FDR,Regulation,PathwayID,PathwayName,PathwaySource
ARID5B,0.669240804,1.43e-27,1.43e-27,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
BBS1,0.778836366,2.5e-06,2.5e-06,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
BMP4,2.194445629,2.09e-25,2.09e-25,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
BST1,0.827978246,3.75e-08,3.75e-08,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
CAMK1D,1.365090259,1.36e-08,1.36e-08,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
CARMIL1,1.452542858,1.54e-08,1.54e-08,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
CASS4,0.745064445,2.18e-13,2.18e-13,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
CCL2,1.653339896,1.48e-42,1.48e-42,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
CCN3,0.866255986,0.002319099,0.002319099,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
CCN4,2.017320305,2.74e-06,2.74e-06,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
CEMIP,2.057095878,0,0,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
CMKLR1,1.174939194,0.032018733,0.032018733,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
CSF1,1.122164592,3.34e-43,3.34e-43,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
CTSH,1.765408217,0.010353268,0.010353268,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
CXCL16,2.128414754,0.00023465,0.00023465,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
DAAM2,0.811475663,2.04e-08,2.04e-08,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
DAB2,0.846289018,9.1e-69,9.1e-69,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
DCHS1,0.92325899,8.14e-23,8.14e-23,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
DCN,1.4205414,2.95e-146,2.95e-146,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
DDIT4,1.299316807,8.97e-11,8.97e-11,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
DDR1,0.772547226,0.00525808,0.00525808,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
DNAAF4,4.503379044,0.010550696,0.010550696,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
