GeneID,logFC,PValue,FDR
FAM20C,0.762729621,1.71e-23,1.71e-23
UBA7,1.747545123,7.6e-24,7.6e-24
FAM20C-2,0.723166911,8.21e-25,8.21e-25
TNFRSF21,1.074310605,4.77e-25,4.77e-25
GRK5,0.992638163,2.69e-25,2.69e-25
TNFRSF19,0.957694401,2e-25,2e-25
BDKRB2,1.002225141,9.38e-26,9.38e-26
IRAG1,0.801978049,7.71e-26,7.71e-26
ABCC1-2,0.803711071,1.67e-26,1.67e-26
PRSS12,0.758336034,1.47e-26,1.47e-26
ABCC3,0.758955038,9.44e-27,9.44e-27
PIM1,1.594034061,3.66e-27,3.66e-27
OSMR,0.715852137,4.29e-28,4.29e-28
CBS,0.960726802,2.08e-28,2.08e-28
FADS2,0.689040784,1.74e-28,1.74e-28
TMEM158,1.170925692,1.16e-28,1.16e-28
FARP1,0.592128919,1.13e-28,1.13e-28
GBP2,2.492369295,2.76e-29,2.76e-29
TMEM119,1.435662028,4.99e-30,4.99e-30
GPRC5A,1.123690099,3.85e-30,3.85e-30
CEBPD,1.516014627,2.3e-30,2.3e-30
C1ORF198,0.743910852,1.98e-30,1.98e-30
UBE2L6,1.254344343,1.31e-30,1.31e-30
ATF3,1.667227362,5.52e-31,5.52e-31
VAMP5,1.204527482,3.65e-31,3.65e-31
MGARP,1.461631115,1.29e-32,1.29e-32
NBPF3,1.107074717,1.25e-33,1.25e-33
ANO1,1.390239421,7.12e-34,7.12e-34
APOL2,1.147854554,3.9e-34,3.9e-34
DTX4,1.234289342,1.21e-34,1.21e-34
PKIG,0.927114518,8.57e-36,8.57e-36
LGALS3BP,0.787527038,1.34e-36,1.34e-36
PSAT1,0.804804554,2.81e-37,2.81e-37
NXN,0.840496169,8.51e-38,8.51e-38
APOL6,1.366467128,1.68e-38,1.68e-38
AKR1C1,1.230762121,1.03e-38,1.03e-38
ZNF469,1.022547419,4.52e-39,4.52e-39
ADM,0.911511464,4.39e-39,4.39e-39
TMEM130,1.562938399,1.92e-39,1.92e-39
TMTC1,0.776628465,1.23e-39,1.23e-39
MAN1C1,1.542674252,1.42e-40,1.42e-40
LMOD1,0.870813185,7.58e-43,7.58e-43
SYNPO,1.029916974,8.95e-44,8.95e-44
HLA-B-4,0.863927562,2.25e-44,2.25e-44
DHCR24,0.666412516,2.18e-44,2.18e-44
FENDRR,0.872158836,8.68e-45,8.68e-45
SQOR,1.249944262,2.48e-46,2.48e-46
RNF213,0.78692221,5.23e-47,5.23e-47
ANGPTL2,0.901761749,5.15e-49,5.15e-49
EFEMP1,0.842757216,8.58e-50,8.58e-50
ACTG2,0.633512817,3.03e-51,3.03e-51
TP53I11,0.973212537,1.35e-51,1.35e-51
STOM,0.788191239,3.96e-54,3.96e-54
TNS3,0.706259151,1.72e-56,1.72e-56
CPA4,1.081104593,9.96e-58,9.96e-58
OLFML2A,2.041635886,3.35e-60,3.35e-60
SLC20A2,0.842282242,1.45e-60,1.45e-60
SCD,0.929219874,5.38e-62,5.38e-62
RPS6KA2,1.332186408,1.44e-69,1.44e-69
C1S,1.100882016,4.77e-70,4.77e-70
CLU,1.114202235,1.83e-87,1.83e-87
C1R,1.461636088,2.78e-91,2.78e-91
C1R-2,1.461636088,2.78e-91,2.78e-91
WARS1,1.044744836,7.18e-99,7.18e-99
DENND2A,2.200624059,2.57e-114,2.57e-114
CTSC,0.92805763,1.11e-123,1.11e-123
MASP1-2,2.79270984,7.7e-132,7.7e-132
HEG1,1.26286922,5.62e-133,5.62e-133
MASP1,2.485426175,5.65e-152,5.65e-152
ADAMTS8,4.196629735,6.31e-153,6.31e-153
COL3A1-2,1.152810638,5.7e-156,5.7e-156
LBH,1.290856595,1.31e-187,1.31e-187
EPAS1,1.570214564,0,0
