GeneID,logFC,PValue,FDR
CPLANE2,0.595013281,0.030216901,0.030216901
CPLANE2-2,0.595013281,0.030216901,0.030216901
C6,3.465758819,0.030175009,0.030175009
LDHD,4.023281545,0.030001926,0.030001926
CPNE5,3.585004654,0.029731235,0.029731235
PCAT6,1.35388916,0.029530552,0.029530552
DENND6B,1.011075521,0.029286488,0.029286488
FNDC1,1.935005033,0.028960159,0.028960159
CASTOR1,0.698689348,0.028068133,0.028068133
SARDH,1.015099388,0.027768794,0.027768794
BMPR1B,0.668629716,0.027764618,0.027764618
PLPPR3,0.788698232,0.027061857,0.027061857
GOLGA8O-2,4.719398207,0.026988649,0.026988649
HHLA3,0.875714547,0.026846809,0.026846809
SLC4A11,0.908740737,0.026841824,0.026841824
ITGB8-AS1,3.516631555,0.026772356,0.026772356
EHMT2-4,0.739010527,0.026762043,0.026762043
TNFRSF14-2,0.806716998,0.026757637,0.026757637
CLYBL,3.558450185,0.026414737,0.026414737
BOLA2B,1.212804005,0.026319456,0.026319456
NPIPB6,1.319251914,0.026003831,0.026003831
DHX58,0.966747882,0.025684818,0.025684818
SBSN,0.892092028,0.025681576,0.025681576
ATP6V1G2-DDX39B-2,5.2920795,0.025394565,0.025394565
ST6GALNAC4-ST6GALNAC6-AK1,0.599280279,0.024720742,0.024720742
CCDC170,0.97400293,0.024570122,0.024570122
CASC2,4.109972411,0.024519594,0.024519594
SHF,1.084511548,0.024287873,0.024287873
CACNG4,0.681713515,0.0235198,0.0235198
DOCK3,1.714559116,0.02350823,0.02350823
SLC2A12,0.699152197,0.023133479,0.023133479
CNN3-DT,0.780247916,0.022914955,0.022914955
OLFML1,1.80045936,0.022803617,0.022803617
NUDT7,1.004652452,0.022801921,0.022801921
GTSE1-DT,3.072556616,0.022750921,0.022750921
EEF2K,1.331226947,0.022188563,0.022188563
HERC6,0.890967374,0.022165891,0.022165891
CLCNKB,3.35041536,0.02192362,0.02192362
HOPX,1.017721729,0.021810458,0.021810458
WWC2-AS2,2.193988705,0.021732729,0.021732729
TENT5B,0.650736145,0.021573318,0.021573318
PTGDS,1.77786398,0.021560817,0.021560817
KIAA1755,0.90929499,0.021386932,0.021386932
PTPRH,2.82776314,0.020987947,0.020987947
RPS9-4,0.687008422,0.02086069,0.02086069
ERICH5,1.004133602,0.020455979,0.020455979
PALMD,2.488237336,0.020395328,0.020395328
TMEM53,0.821452791,0.020339912,0.020339912
RAB42,1.128848141,0.020134311,0.020134311
DTNB,0.636501624,0.019992595,0.019992595
ZNF705G-2,0.728650437,0.019931778,0.019931778
MICB-7,4.025972768,0.019913121,0.019913121
SLC44A3-AS1,2.078916661,0.019536526,0.019536526
ABCA7,0.879498979,0.018780482,0.018780482
FAM88C,3.776129038,0.018088435,0.018088435
TSPAN18,4.872357395,0.017464525,0.017464525
DENND2D,1.364844404,0.017446831,0.017446831
STARD5,0.686162844,0.017084349,0.017084349
PLEKHF1,0.595114744,0.016904163,0.016904163
IFI6,0.588796627,0.016606891,0.016606891
FN3K,0.826312134,0.015882756,0.015882756
ATCAY,1.632132567,0.015364356,0.015364356
HBG2,4.296103653,0.015123372,0.015123372
NRM,1.018967102,0.014868634,0.014868634
TCAF1-2,1.393788631,0.014525164,0.014525164
FAXDC2,0.618272349,0.014503178,0.014503178
SERP2,0.712601193,0.014398175,0.014398175
SOCS3-DT,3.875080684,0.014228443,0.014228443
VAMP8,1.648282614,0.013974075,0.013974075
PAPPA-AS1,0.875579542,0.013630621,0.013630621
COMTD1,1.051916167,0.013080319,0.013080319
PSG1,0.914812322,0.013034872,0.013034872
RAB3IL1,0.603477348,0.013017028,0.013017028
ATAT1-7,2.342474374,0.013012005,0.013012005
LYRM4-AS1,0.940876901,0.01293976,0.01293976
ZBTB42,0.627274533,0.012468106,0.012468106
SLC2A11-2,0.771036135,0.012144671,0.012144671
ANKRD13B,0.764976383,0.012092892,0.012092892
MIR503HG,0.677129335,0.012021679,0.012021679
TMEM187,0.825273395,0.011906547,0.011906547
ACSS1,1.594950968,0.011718415,0.011718415
DIPK1B,1.546764497,0.011500423,0.011500423
OPLAH,1.126886216,0.011376269,0.011376269
ZNF503-AS2,1.071660681,0.011280562,0.011280562
STOX2,0.739747653,0.01120869,0.01120869
B3GALT4-5,5.266743881,0.01101232,0.01101232
HNMT,0.908691401,0.010889158,0.010889158
NPM2,5.01839948,0.010842709,0.010842709
PGGHG,1.026284676,0.010813741,0.010813741
PIANP,0.996580939,0.010682857,0.010682857
SEPTIN6,0.795777209,0.010599361,0.010599361
CPM,0.782354602,0.01045059,0.01045059
B4GALNT2,1.332292112,0.010364801,0.010364801
MAP6,0.904438693,0.010269908,0.010269908
STX1B,0.675849264,0.010057113,0.010057113
PAOX,0.709534749,0.009904785,0.009904785
C11ORF87,1.884531474,0.009840685,0.009840685
SLC4A3,0.722377339,0.009721295,0.009721295
TM7SF2,0.868009866,0.009498208,0.009498208
ZSWIM4-2,0.587644813,0.009198494,0.009198494
ARVCF,0.611862726,0.009066835,0.009066835
MTARC1,0.81321988,0.008768028,0.008768028
ZNF710-AS1,4.153897894,0.008759395,0.008759395
DUSP8,0.872380634,0.008399689,0.008399689
DUSP8-4,0.872380634,0.008399689,0.008399689
SCN7A,1.614897385,0.00811263,0.00811263
TFEB,0.704234474,0.007992828,0.007992828
FAM131B-AS2-2,4.580041876,0.007897259,0.007897259
HLA-C-6,0.731782198,0.007803786,0.007803786
NOVA1,1.032497252,0.007741779,0.007741779
ARHGAP20,0.596248056,0.007710227,0.007710227
FBXO6,0.597855242,0.007689359,0.007689359
FAM78A,1.539302449,0.007550618,0.007550618
YPEL2,0.822628132,0.007487982,0.007487982
ALKAL1,2.687723089,0.007216901,0.007216901
NSG1,0.793669253,0.00689396,0.00689396
RND2,1.17771444,0.006824171,0.006824171
CDC42EP5,0.777700482,0.00681191,0.00681191
CDC42EP5-2,0.777700482,0.00681191,0.00681191
CDC42EP5-3,0.777700482,0.00681191,0.00681191
CDC42EP5-4,0.777700482,0.00681191,0.00681191
C2ORF74-DT,0.595406192,0.006767921,0.006767921
PLCD4,1.778862513,0.006721376,0.006721376
TOX-DT,0.954515562,0.006710662,0.006710662
GBGT1,0.788114011,0.006507796,0.006507796
RAD51-AS1,2.235675454,0.006385428,0.006385428
ZNF497,0.816320583,0.006322224,0.006322224
SNAI3-AS1,1.303315084,0.006229229,0.006229229
DUSP16,0.67185192,0.006119061,0.006119061
CREB5,0.800750525,0.00607924,0.00607924
ENDOV,0.588075021,0.005734498,0.005734498
KRBA1,0.639711336,0.005673114,0.005673114
GRIK4,0.948932727,0.005526116,0.005526116
PECR,0.71222904,0.005487186,0.005487186
ITPR1,0.959405016,0.005385203,0.005385203
TSPAN10,0.79685313,0.005277435,0.005277435
WDR81-2,1.384557693,0.005272185,0.005272185
MDC1-2,1.668212751,0.005261949,0.005261949
SLC43A2,0.750074262,0.005159816,0.005159816
GATAD2B,0.720112145,0.005140694,0.005140694
NETO1,0.881816268,0.005049708,0.005049708
B9D1,0.659391272,0.005045427,0.005045427
FBXW9,0.748445102,0.004894288,0.004894288
BATF2,1.629293832,0.004718212,0.004718212
FAM53A,1.338865064,0.004702852,0.004702852
TSPAN15,0.926990255,0.00464139,0.00464139
FLT3LG,1.031162707,0.004610565,0.004610565
ENGASE,0.648130629,0.004595885,0.004595885
SBF2-AS1,1.183772672,0.00451009,0.00451009
GALNT16,1.386488856,0.004385972,0.004385972
AKR1C2,0.918348411,0.004314572,0.004314572
CCDC102A,0.626205136,0.004272131,0.004272131
NLGN2-2,1.189508363,0.004244344,0.004244344
TRIM34,0.647377555,0.004226188,0.004226188
SHANK3-2,1.0681027,0.004066848,0.004066848
GXYLT2,0.67025888,0.003765623,0.003765623
ID2-AS1,2.830400587,0.003731384,0.003731384
RNF217-AS1,1.944915091,0.003700837,0.003700837
HUNK,0.676972351,0.003696335,0.003696335
APOBEC3D,2.288550639,0.00355629,0.00355629
LHPP,0.798994434,0.003447789,0.003447789
IDUA,0.716099768,0.003442225,0.003442225
HEXD,0.835751268,0.003116375,0.003116375
SLC43A2-2,0.589451706,0.002915655,0.002915655
KCNG2,2.482053324,0.002908985,0.002908985
ZDHHC1,0.617872414,0.00286938,0.00286938
LEISA1,1.254467285,0.002803101,0.002803101
HR,0.91942931,0.002764719,0.002764719
SELENOP,3.198207657,0.002721812,0.002721812
SLC18B1,1.005341354,0.00255146,0.00255146
FAM89A,0.607550291,0.00236439,0.00236439
IFT43,0.644636361,0.002202594,0.002202594
PCED1A,0.667274005,0.002190523,0.002190523
MFSD13A,1.656350857,0.001977774,0.001977774
CYRIA,0.835864804,0.001862719,0.001862719
PSMB8,0.784626165,0.001834894,0.001834894
PSMB8-2,0.784626165,0.001834894,0.001834894
PSMB8-3,0.784626165,0.001834894,0.001834894
PSMB8-5,0.784626165,0.001834894,0.001834894
PSMB8-6,0.784626165,0.001834894,0.001834894
PSMB8-7,0.784626165,0.001834894,0.001834894
PSMB8-8,0.784626165,0.001834894,0.001834894
KRT19,0.606260461,0.001831614,0.001831614
ZSWIM4,0.67514891,0.001823655,0.001823655
MGST2,0.817273539,0.001820838,0.001820838
KCTD16,1.793129162,0.00175474,0.00175474
PSMG3-AS1,1.040503683,0.001727707,0.001727707
CCDC57,0.76187135,0.001722437,0.001722437
PPP1R14A,0.959217869,0.001669494,0.001669494
SOX6,0.689795111,0.001515019,0.001515019
ANK2,1.031957194,0.00140946,0.00140946
BRD2-5,5.587451555,0.00134283,0.00134283
IFNAR2-IL10RB,0.755271979,0.001334312,0.001334312
TLCD2,0.933872033,0.001313739,0.001313739
TLCD2-2,0.933872033,0.001313739,0.001313739
LRRN4CL,1.067798072,0.001306846,0.001306846
TCAF2-2,1.522564838,0.00129938,0.00129938
CCDC136,0.682139542,0.001205229,0.001205229
CLSTN3-2,0.640472713,0.001203327,0.001203327
NINL,0.777513439,0.001153354,0.001153354
DIO2,1.122555777,0.001137591,0.001137591
PRRT3,0.736061125,0.001097516,0.001097516
