ABI1P1,0,0,0,0,0,0,0,0,0,0
ABI2,2971,1763,3482,2217,3747,2410,2267,1995,3012,2139
ABI3,29,51,39,55,42,98,57,89,28,32
ABI3BP,806,1149,3258,1415,1081,1615,1622,2216,707,1205
ABITRAM,432,471,638,689,684,661,468,495,495,465
ABITRAMP1,0,0,0,0,0,0,0,0,0,0
ABL1,8593,10132,7868,11034,9618,9350,9483,8208,7085,8301
ABL2,5066,4009,5853,4741,7327,4718,3769,3460,6800,3391
ABLIM1,303,59,115,58,243,62,129,125,189,103
ABLIM2,0,10,11,15,3,11,11,11,1,4
ABLIM3,1171,1293,2223,2309,904,1260,1155,1439,1474,1261
ABO,1,0,0,0,0,0,0,0,0,0
ABR,1104,1053,1358,995,1259,821,949,1029,1248,675
ABR-AS1,0,0,0,0,0,0,0,0,0,0
ABRA,1,0,1,0,0,0,0,0,1,0
ABRACL,661,565,636,552,684,488,589,562,547,377
ABRAXAS1,429,400,351,511,474,637,398,470,372,380
ABRAXAS1P1,0,1,0,0,0,0,0,1,0,0
ABRAXAS1P2,2,0,1,2,4,0,3,0,0,1
ABRAXAS2,1107,1223,1213,1228,1476,1303,989,1015,1119,944
ABT1,788,827,963,1045,1047,993,834,760,923,660
ABT1P1,0,0,0,0,0,0,0,1,0,0
ABTB1,1189,1421,830,841,836,836,1103,1114,834,999
ABTB2,821,575,416,582,505,392,552,556,688,787
ABTB3,767,172,311,553,881,396,127,237,276,88
ACAA1,1144,1108,920,968,1097,913,888,871,847,920
ACAA2,1830,1821,1860,1888,2390,2120,2054,2102,1818,1846
ACAA2P1,0,0,1,4,3,0,1,1,1,0
ACACA,1806,1973,2123,2568,2668,2432,1972,2366,1755,1592
ACACB,244,211,147,139,118,94,186,159,8,137
ACAD10,564,645,430,571,544,576,451,540,322,343
ACAD11,1226,892,1023,649,920,648,871,648,739,849
ACAD8,770,569,805,685,908,648,544,533,711,537
ACAD9,1546,1575,1596,2018,2075,1850,1424,1475,1285,1083
ACAD9-DT,5,17,3,10,5,7,3,8,3,3
ACADL,4,2,2,2,0,2,1,2,0,1
ACADM,1303,983,1416,1259,1383,1092,1024,1057,1278,1049
ACADS,189,214,159,168,200,161,158,151,174,151
ACADSB,629,678,660,769,709,689,556,650,581,599
ACADVL,13506,10822,11699,10267,12856,10130,12387,10126,12069,11077
ACAN,2095,1890,9379,268,586,348,1363,141,557,31
ACAP1,39,34,37,30,57,37,73,43,52,66
ACAP2,2715,3033,2945,2932,3114,2951,2655,2747,2833,2517
ACAP2-IT1,1,3,2,6,1,2,0,2,6,0
ACAP3,3983,3280,4083,2804,4949,3454,3173,3019,3259,2832
ACAT1,1593,1664,1985,2114,2191,2008,1717,1744,1493,1152
ACAT2,980,1048,1694,1448,1789,1296,1032,1077,1034,634
ACBD3,4313,4230,4441,4140,4897,4030,4225,3562,4056,3386
ACBD4,121,98,46,44,108,50,36,80,65,78
ACBD5,1878,1968,2245,2230,2317,1886,1997,1789,2048,1517
ACBD6,1030,1055,1126,1055,1256,1166,988,978,1158,1006
ACBD7,22,37,29,29,32,46,33,40,21,20
ACCS,254,245,240,170,494,377,227,197,303,516
ACCSL,0,0,0,0,0,0,0,0,0,0
ACCSLP1,0,0,0,0,0,0,0,0,0,0
ACD,487,480,460,508,611,529,478,490,466,410
ACE,422,494,237,483,471,714,438,410,180,503
ACE2,0,0,0,0,0,0,0,0,0,0
ACE3P,0,0,0,0,0,0,0,0,0,0
ACER1,0,0,0,0,0,0,1,0,0,0
ACER2,28,12,53,40,61,26,36,32,30,37
ACER2P1,0,0,0,0,0,0,0,0,0,0
ACER3,1392,1978,1762,2200,2177,1943,1916,1774,1542,1491
ACHE,10,5,23,8,8,3,4,6,5,6
ACIN1,5855,5985,5133,6264,6103,5701,4248,4277,4516,3908
ACKR1,0,0,0,1,1,0,0,0,0,0
ACKR2,1,3,2,4,5,2,2,2,1,0
ACKR3,110,800,44,1213,297,809,256,500,94,463
ACKR4,1497,4378,162,331,439,276,784,712,380,406
ACKR4P1,0,0,0,0,0,0,0,0,0,1
ACLY,18284,15496,16592,19147,22739,18785,18247,16747,16177,15106
ACMSD,3,1,1,1,1,5,1,3,1,1
ACNATP,0,0,0,0,0,0,0,0,0,0
ACO1,3483,2821,4121,3095,4207,2896,3299,2900,4144,2687
