"GeneID","logFC","AveExpr","t","PValue","FDR","B","Regulation","Mean_Group1","Mean_Group2","Treatment_I6_I6_1","Treatment_I6_I6_2","Treatment_I6_I6_3","Control_Con_1","Control_Con_2","Control_Con_3"
"AFP",-1.67841996894042,16.2484518139981,-20.9072805411711,1.31097834617063e-05,4.18873569142324e-05,1.94049472510733,"DOWN",20.270934600437,20.0901660595825,20.2709351705818,20.2709340302921,20.2709346004371,20.0901654133304,20.0901660595826,20.0901667058345
"HRG",-1.63212607741247,13.0713194323628,-33.4929413662127,1.63360987035123e-06,6.68759040675034e-06,4.48641920797694,"DOWN",12.4508014274917,13.3257270685956,12.4509302742152,12.4508014313276,12.4506725769324,13.3256568091843,13.3257270697362,13.3257973268664
"INS-IGF2",-1.61231051965693,12.4849487116622,-8.71983654432883,0.000585109899193917,0.00121665709197465,-2.69169747232763,"DOWN",13.1364801190056,12.2176181145178,13.1364000113524,13.1365602251762,13.1364801204883,12.2184572853288,12.2774733923362,12.1569236658884
"SERPINE2",-1.49284020332817,9.4979969863969,-24.5275835642838,6.48075265652308e-06,2.23415420527506e-05,2.8017481336448,"DOWN",17.5146254546049,17.0575211376184,17.5146254546083,17.5146216023314,17.5146293068749,17.0575158492793,17.0575211376249,17.057526425951
"PLOD3",1.48458780619069,10.2816890736001,13.5962171927688,8.64856366173156e-05,0.000217877276862853,-0.363936251803107,"UP",13.7166459034987,12.9147571399133,13.6859313908009,13.7168623215085,13.7471439981867,12.8895039634115,12.9398638320262,12.9149036243023
"PPIA",1.39534172325843,15.8659708203895,436.593850024104,1.82323104799679e-11,3.9707354477953e-10,17.7988563735149,"UP",10.6510673320808,10.9389473147596,10.6822045708623,11.004585659344,10.2664117660361,10.9385798533679,10.938947345955,10.9393147449559
"HDGF",1.36527741170811,11.2185387733844,4.71595145727378,0.00709307680108429,0.0111950971197836,-5.69634455550635,"UP",9.11503025011134,12.4980426027981,9.1163309639263,9.11372914527706,9.11503064113064,12.7495719770259,12.5473114889164,12.1972443424519
"LTBP4",1.34877163491542,13.4278031566639,421.947024609464,2.12176703317306e-11,3.9707354477953e-10,17.6520049967571,"UP",11.0239829766955,9.53939517050478,11.0239830044219,11.023636549183,11.0243293764815,9.73393049002057,9.5485252490731,9.33572977242067
"APOC3",-1.30067477292665,12.4883043324217,-9.13857721976936,0.000479471559657953,0.00104684623858653,-2.44987619333535,"DOWN",12.2208399658357,12.203659700797,12.7198978672748,13.0823885833734,10.860233446859,12.2730335547892,11.6144061837394,12.7235393638623
"GC",-1.21946260075768,14.6276532079392,-9.07606008897671,0.00049367469317224,0.00105367320580317,-2.48534115594303,"DOWN",15.5155997471532,15.7797270486378,15.6142468515002,15.4299101322805,15.5026422576789,15.7797270486758,15.7797398711386,15.779714226099
