Feature,Fold_Enrichment,Overlaps_A,Total_A,Cell
TCF4,1.31295,10,201,iPS cells
JUN,1.31203,4,201,MCF 10A
TP53,1.30741,9,201,hESC derived mesodermal cells
STAT3,1.30333,27,201,MCF 10A
JUN,1.29645,5,201,MCF-7
STAT3,1.28479,4,201,MCF10DCIS.com
JUN,1.25199,28,201,Hep G2
E2F1,1.24431,50,201,C4-2
TCF4,1.2432,3,201,LS-180
TP53,1.24265,10,201,HCT 116
TP53,1.24182,4,201,MCF 10A
TP53,1.23768,7,201,Saos-2
TP53,1.23768,1,201,BJ
TP53,1.23768,1,201,HCT 116
STAT3,1.23733,47,201,MCF 10A
NFKB1,1.23676,18,201,GM12878
TP53,1.23521,20,201,SJSA-1
STAT3,1.23493,12,201,HCC1937
STAT3,1.23275,10,201,MCF 10A
JUN,1.23166,30,201,HeLa
TP53,1.22677,3,201,MCF-7
STAT3,1.22295,31,201,MCF 10A
TCF4,1.22273,24,201,SK-N-SH
JUN,1.22139,3,201,SCCOHT-1
TP53,1.22139,2,201,U2OS
TP53,1.21993,11,201,U2OS
TCF4,1.21341,2,201,LS-180
TP53,1.20553,1,201,HCT 116
NFKB1,1.20107,7,201,CD4+ T cells
TP53,1.20033,6,201,SJSA-1
SNAI2,1.19872,16,201,Keratinocytes
STAT3,1.19846,11,201,Th2 Cells
TP53,1.19775,6,201,U2OS
JUN,1.1974,44,201,HUVEC
SMAD3,1.18627,4,201,hESC derived mesendodermal cells
SNAI2,1.18039,25,201,MCF-7
NFKB1,1.17501,1,201,CD4+ T cells
TP53,1.17501,1,201,Lymphoblastoid cells
TP53,1.17501,3,201,Foreskin
JUN,1.16689,20,201,MCF 10A
TCF4,1.16537,26,201,iPS cells
JUN,1.16518,12,201,K-562
JUN,1.16082,29,201,BT-549
TP53,1.16032,3,201,HCT 116
TP53,1.16032,4,201,BJ
STAT3,1.1596,20,201,Breast cancer cells
STAT3,1.14955,16,201,MCF 10A
TP53,1.14955,8,201,Keratinocytes
STAT3,1.14691,62,201,MCF 10A
JUN,1.14351,51,201,MCF 10A
