GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Up/Down-Regulation
ACKR4,2310,0.48,0.44,0.16,0.02,0.11,0.14,2.089595387,0.025125813,0.025125813,Up
COL14A1,5768,0.28,0.29,0.24,0.12,0.14,0.1,1.202392112,0.024997564,0.024997564,Up
ST6GALNAC4-ST6GALNAC6-AK1,4302,1.08,1.14,1.66,1,1.03,1.14,0.599280279,0.024720742,0.024720742,*
CCDC170,5306,0.53,0.39,0.6,0.27,0.17,0.37,0.97400293,0.024570122,0.024570122,*
CASC2,2947,0.12,0.09,0.15,0.02,0,0,4.109972411,0.024519594,0.024519594,Up
SHF,1895,1.44,1.17,0.87,0.39,0.73,0.59,1.084511548,0.024287873,0.024287873,Up
CACNG4,3583,1.26,1.48,1.16,0.74,0.99,0.82,0.681713515,0.0235198,0.0235198,*
DOCK3,8941,0.19,0.14,0.1,0.05,0.06,0.01,1.714559116,0.02350823,0.02350823,Up
SLC2A12,3100,2.92,1.42,2.22,0.79,1.63,1.39,0.699152197,0.023133479,0.023133479,*
CNN3-DT,1372,3.02,3.37,3.81,1.69,2,2.76,0.780247916,0.022914955,0.022914955,*
OLFML1,2243,0.18,0.44,0.47,0.13,0.18,0.1,1.80045936,0.022803617,0.022803617,Up
NUDT7,1147,4.45,3.29,2.76,2.57,1.24,1.55,1.004652452,0.022801921,0.022801921,Up
GTSE1-DT,1518,0.79,0.32,0.04,0.03,0.07,0.04,3.072556616,0.022750921,0.022750921,Up
EEF2K,5588,0.32,0.19,0.26,0.05,0.1,0.2,1.331226947,0.022188563,0.022188563,Up
HERC6,3450,0.96,1.06,0.92,0.74,0.38,0.72,0.890967374,0.022165891,0.022165891,*
LAMA3,5410,0.25,0.13,0.16,0.06,0.11,0.1,1.319027498,0.022105166,0.022105166,Up
CLCNKB,2368,0.4,0.13,0.13,0,0.07,0,3.35041536,0.02192362,0.02192362,Up
HOPX,1121,2.75,3.69,2.22,0.96,1.64,2,1.017721729,0.021810458,0.021810458,Up
WWC2-AS2,2179,0.47,0.16,0.39,0.11,0.07,0.05,2.193988705,0.021732729,0.021732729,Up
TENT5B,2382,2.44,2.37,3.26,2.29,1.53,1.56,0.650736145,0.021573318,0.021573318,*
PTGDS,812,2.55,1.9,1.76,0.73,0.08,1.1,1.77786398,0.021560817,0.021560817,Up
KIAA1755,4345,0.62,0.74,0.81,0.36,0.25,0.58,0.90929499,0.021386932,0.021386932,*
FAM107A,3187,0.1,0.13,0.02,0,0,0,4.81982213,0.02111992,0.02111992,Up
FLRT3,4983,0.74,0.72,0.73,0.37,0.47,0.47,0.760387886,0.021014214,0.021014214,*
PTPRH,2670,0.25,0.19,0.08,0,0.03,0.06,2.82776314,0.020987947,0.020987947,Up
RPS9-4,704,143.82,75.96,130.81,59.97,87.48,80.37,0.687008422,0.02086069,0.02086069,*
TTLL3,3479,0.92,1.1,0.78,0.32,0.53,0.72,0.945408495,0.020754749,0.020754749,*
ERICH5,917,2.26,1.81,2.03,1.12,1.06,1.52,1.004133602,0.020455979,0.020455979,Up
PALMD,2334,0.43,0.22,0.16,0.08,0.02,0.05,2.488237336,0.020395328,0.020395328,Up
CARD11,4287,1.66,1.65,0.94,0.97,0.9,0.93,0.671657154,0.02037447,0.02037447,*
TMEM53,2227,1.58,1.65,1.5,1.05,0.95,0.78,0.821452791,0.020339912,0.020339912,*
SPINT2,1688,2.36,2,2.07,0.36,1.13,1.42,1.089425479,0.020135167,0.020135167,Up
RAB42,1934,1.28,0.91,1.18,0.72,0.35,0.58,1.128848141,0.020134311,0.020134311,Up
DTNB,2398,2.43,2.24,2.2,1.77,1.97,1.39,0.636501624,0.019992595,0.019992595,*
ZNF705G-2,3601,3.65,1.68,1.88,1.43,1.16,0.64,0.728650437,0.019931778,0.019931778,*
MICB-7,2407,0.31,0,0.37,0.12,0,0,4.025972768,0.019913121,0.019913121,Up
SLC44A3-AS1,2591,0.29,0.63,0.71,0.21,0.01,0.14,2.078916661,0.019536526,0.019536526,Up
ABCA7,6046,0.53,0.62,0.36,0.28,0.3,0.29,0.879498979,0.018780482,0.018780482,*
FAM88C,2275,0.31,0.12,0.17,0.05,0,0,3.776129038,0.018088435,0.018088435,Up
MYL5,983,7.67,4.55,5.09,3.21,3.82,2.88,0.802551599,0.018005981,0.018005981,*
TSPAN18,4602,0.11,0.04,0.02,0,0,0,4.872357395,0.017464525,0.017464525,Up
DENND2D,3182,0.59,0.56,0.81,0.35,0.12,0.23,1.364844404,0.017446831,0.017446831,Up
STARD5,4887,0.9,1.15,0.94,0.62,0.61,0.72,0.686162844,0.017084349,0.017084349,*
PLEKHF1,1791,3.87,4.76,4.12,3,2.63,3.22,0.595114744,0.016904163,0.016904163,*
IFI6,815,13.34,13.58,12.09,8,11.25,7.9,0.588796627,0.016606891,0.016606891,*
FN3K,1393,2.56,3.37,3.77,2.15,1.56,2.02,0.826312134,0.015882756,0.015882756,*
MYCBPAP,1716,0.15,0.1,0.29,0.03,0,0.03,3.298881923,0.015847659,0.015847659,Up
ATCAY,4622,0.23,0.19,0.23,0.08,0.07,0.08,1.632132567,0.015364356,0.015364356,Up
HBG2,586,0.76,1.47,0.94,0,0,0.16,4.296103653,0.015123372,0.015123372,Up
NRM,1211,1.96,5.01,6.31,3.48,1.13,2.51,1.018967102,0.014868634,0.014868634,Up
TCAF1-2,5772,2.2,2.15,2.26,0.41,0.59,1.61,1.393788631,0.014525164,0.014525164,Up
FAXDC2,2904,3.27,2.79,2.71,1.95,1.45,2.68,0.618272349,0.014503178,0.014503178,*
SERP2,1013,5.52,6.86,6.24,4.63,4.07,3.81,0.712601193,0.014398175,0.014398175,*
CTSK,1629,6.92,5.96,4.43,3.68,3.78,4.56,0.59485923,0.014252916,0.014252916,*
SOCS3-DT,749,1.02,0.25,0.76,0,0.14,0,3.875080684,0.014228443,0.014228443,Up
VAMP8,677,3.44,2.18,3.56,0.76,1.68,0.62,1.648282614,0.013974075,0.013974075,Up
TTC12,2278,3.39,3.19,3.71,1.97,2.73,2.45,0.588456236,0.01372371,0.01372371,*
PAPPA-AS1,2450,2.34,2.5,1.21,1.35,1.2,0.91,0.875579542,0.013630621,0.013630621,*
ITPKB,6038,1,1.2,1.01,0.78,0.67,0.74,0.606281711,0.013258836,0.013258836,*
COMTD1,899,2.07,2.84,4.59,2.46,1.07,1.72,1.051916167,0.013080319,0.013080319,Up
PSG1,2007,1.7,2.03,2.06,1.34,1.14,0.72,0.914812322,0.013034872,0.013034872,*
RAB3IL1,2325,3,3.66,3.21,2.27,1.93,2.6,0.603477348,0.013017028,0.013017028,*
ATAT1-7,2504,2.9,6.45,0.49,0.19,0.4,0.81,2.342474374,0.013012005,0.013012005,Up
LYRM4-AS1,1308,2.97,3.33,3.36,2.02,1.06,2.19,0.940876901,0.01293976,0.01293976,*
ZBTB42,3612,1.71,1.76,1.84,1.38,1.17,1.05,0.627274533,0.012468106,0.012468106,*
LRRC23,1213,3.36,5.01,3.35,2.38,2.18,1.85,0.900941981,0.012196812,0.012196812,*
SLC2A11-2,1485,3.18,4.06,3.34,1.9,2.1,2.01,0.771036135,0.012144671,0.012144671,*
ANKRD13B,3357,1.13,1.76,1.84,0.83,1.04,1.22,0.764976383,0.012092892,0.012092892,*
MIR503HG,1517,4.11,4.22,5.13,3.2,3.12,2.35,0.677129335,0.012021679,0.012021679,*
TMEM187,1452,3.72,3.97,2.79,2.45,1.59,2.16,0.825273395,0.011906547,0.011906547,*
ACSS1,3017,0.43,0.28,0.52,0.09,0.21,0.14,1.594950968,0.011718415,0.011718415,Up
DIPK1B,2358,0.91,0.74,0.78,0.55,0.12,0.19,1.546764497,0.011500423,0.011500423,Up
OPLAH,4011,0.47,0.59,1.03,0.41,0.33,0.27,1.126886216,0.011376269,0.011376269,Up
ZNF503-AS2,2462,0.85,1.19,1.22,0.63,0.49,0.53,1.071660681,0.011280562,0.011280562,Up
ABI3BP,5827,0.62,0.34,0.54,0.18,0.27,0.26,1.147780091,0.011210055,0.011210055,Up
STOX2,10326,0.7,0.67,0.58,0.24,0.92,0.31,0.739747653,0.01120869,0.01120869,*
B3GALT4-5,1703,0.37,0,0.32,0,0,0,5.266743881,0.01101232,0.01101232,Up
HNMT,1039,3.73,2.79,4.05,1.55,2.28,2.92,0.908691401,0.010889158,0.010889158,*
NPM2,1728,0.07,0.43,0.33,0,0,0,5.01839948,0.010842709,0.010842709,Up
PGGHG,3699,0.66,1.29,1.37,0.41,0.87,0.5,1.026284676,0.010813741,0.010813741,Up
PIANP,2555,1.1,1.08,1.27,0.62,0.49,0.65,0.996580939,0.010682857,0.010682857,*
SEPTIN6,3463,3.85,3.68,1.47,1.84,1.37,1.92,0.795777209,0.010599361,0.010599361,*
DNAAF4,1891,0.26,0.29,0.07,0.05,0,0,4.503379044,0.010550696,0.010550696,Up
CPM,4987,1.48,0.87,1.78,0.8,1.07,0.5,0.782354602,0.01045059,0.01045059,*
B4GALNT2,2138,0.43,0.82,0.22,0.12,0.63,0.37,1.332292112,0.010364801,0.010364801,Up
CTSH,2145,0.57,0.8,0.39,0.18,0.23,0.13,1.765408217,0.010353268,0.010353268,Up
MAP6,3104,0.88,1.15,1.3,0.55,0.88,0.62,0.904438693,0.010269908,0.010269908,*
STX1B,4674,1.2,1.79,1.55,1.08,1.08,0.78,0.675849264,0.010057113,0.010057113,*
PAOX,1810,3.21,3.99,3.71,2.76,2.22,1.9,0.709534749,0.009904785,0.009904785,*
C11orf87,5867,0.16,0.36,0.16,0.07,0.11,0.02,1.884531474,0.009840685,0.009840685,Up
SLC4A3,3328,1.74,1.71,1.46,0.88,1.36,0.89,0.722377339,0.009721295,0.009721295,*
TM7SF2,1578,2.71,2.73,3.15,1.25,1.7,1.95,0.868009866,0.009498208,0.009498208,*
ZSWIM4-2,4688,1.89,2.18,1.71,1.29,1.67,1.14,0.587644813,0.009198494,0.009198494,*
ARVCF,3682,1.99,1.94,1.88,1.31,1.16,1.5,0.611862726,0.009066835,0.009066835,*
MTARC1,2846,1.21,1.1,2.3,1.28,0.89,0.85,0.81321988,0.008768028,0.008768028,*
ZNF710-AS1,1171,0.12,0.43,1.22,0,0.11,0,4.153897894,0.008759395,0.008759395,Up
DUSP8,4785,0.75,0.9,0.92,0.38,0.63,0.48,0.872380634,0.008399689,0.008399689,*
DUSP8-4,4785,0.75,0.9,0.92,0.38,0.63,0.48,0.872380634,0.008399689,0.008399689,*
FMNL1,3697,2.2,1.79,2.02,1.02,1.85,1.03,0.734992721,0.008347826,0.008347826,*
SCN7A,7280,0.12,0.24,0.24,0.08,0.09,0.04,1.614897385,0.00811263,0.00811263,Up
TFEB,2309,2.75,3.57,2.52,1.85,2.07,1.69,0.704234474,0.007992828,0.007992828,*
FAM131B-AS2-2,389,3.87,6.31,1.71,0.69,0,0,4.580041876,0.007897259,0.007897259,Up
HLA-C-6,979,8.27,6.69,6.99,4.31,4.34,5.07,0.731782198,0.007803786,0.007803786,*
NOVA1,2643,1.56,1.01,0.64,0.66,0.67,0.56,1.032497252,0.007741779,0.007741779,Up
ARHGAP20,5990,1.71,1.28,1.41,0.95,1.18,0.94,0.596248056,0.007710227,0.007710227,*
FBXO6,1481,7.11,7.81,6.83,4.16,6.07,4.65,0.597855242,0.007689359,0.007689359,*
COL8A2,4524,0.97,0.88,0.78,0.58,0.5,0.47,0.851770588,0.007572793,0.007572793,*
FAM78A,4587,0.3,0.42,0.28,0.09,0.13,0.14,1.539302449,0.007550618,0.007550618,Up
YPEL2,5264,0.92,0.97,0.86,0.61,0.39,0.64,0.822628132,0.007487982,0.007487982,*
TAC3,838,0.73,1.65,0.75,0.23,0.08,0.09,3.021321745,0.007352892,0.007352892,Up
IL12A,1444,3.44,4.34,3.88,1.84,2.53,2.59,0.813259942,0.007276157,0.007276157,*
ALKAL1,1140,0.83,0.7,0.7,0.2,0.05,0.11,2.687723089,0.007216901,0.007216901,Up
NSG1,2150,4.39,2.02,3.31,2.66,1.89,1.63,0.793669253,0.00689396,0.00689396,*
RND2,2014,1.91,3.37,1.39,1.19,1.33,0.44,1.17771444,0.006824171,0.006824171,Up
