GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Up/Down-Regulation
MINDY1,2622,4.93,5.38,5.21,2.54,2.24,2.9,1.014914955,5.01E-07,5.01E-07,Up
MEGF6,6871,3.87,4.47,3.96,2.85,2.9,2.55,0.630685819,4.87E-07,4.87E-07,*
JAZF1,3130,14.72,11.46,13.56,8.73,8.68,10.13,0.621007185,4.48E-07,4.48E-07,*
CEACAM19,2828,2.85,2.65,2.78,1.06,0.73,1.44,1.442068385,4.31E-07,4.31E-07,Up
CPZ,2163,1.51,2.33,2.09,0.53,0.61,0.4,2.00446201,3.89E-07,3.89E-07,Up
TAPBPL,1803,9.53,8.75,10.98,5.67,5.32,5.97,0.868093045,3.79E-07,3.79E-07,*
LRIG3,3772,4.36,3.66,4.27,2.72,2,2.17,0.919264113,3.59E-07,3.59E-07,*
SHFL,1821,15.5,18.33,15.82,9.31,11.81,11.03,0.720977461,3.30E-07,3.30E-07,*
ANKRD33B,9263,2.1,1.78,1.65,1.12,1.02,1.08,0.839983219,2.67E-07,2.67E-07,*
KCNE4,2915,7.04,6.71,7.03,4.16,4.63,4.03,0.764203958,2.29E-07,2.29E-07,*
BTN3A3,2958,9.82,9.14,9.14,5.76,6.94,6.38,0.672507507,2.09E-07,2.09E-07,*
LPCAT1,3907,11.98,11.23,16.02,8.39,5.43,8.93,0.862447147,1.90E-07,1.90E-07,*
PDGFRL,1534,10.18,11.45,11.84,6.83,3.52,5.29,1.145535702,1.52E-07,1.52E-07,Up
MAP2,5118,1.45,1.23,1.23,0.53,0.42,0.44,1.474858679,1.45E-07,1.45E-07,Up
HELZ2,9110,3.69,3.92,3.92,2.46,3.07,2.58,0.659191083,1.29E-07,1.29E-07,*
ELOVL2,3935,5.81,4.78,4.78,3.03,2.94,3.24,0.819933821,1.19E-07,1.19E-07,*
LOXL4,3623,8.9,9.85,10.02,5.67,6.84,6.76,0.653695735,1.16E-07,1.16E-07,*
FGL2,4256,1.35,1.13,1.31,0.49,0.37,0.38,1.676858987,1.09E-07,1.09E-07,Up
SLC12A8,2258,4.51,4.56,4.51,2,2.48,2.43,1.140273183,1.02E-07,1.02E-07,Up
SYNGR1,1587,21.94,25.22,23.57,17.74,16.03,16.65,0.599678379,8.09E-08,8.09E-08,*
LGMN,1955,14.18,14.57,14.8,9.93,9.61,9.26,0.670457619,8.01E-08,8.01E-08,*
RHOBTB1,4297,9.01,8,8.19,5.48,5.32,6.16,0.625616087,6.91E-08,6.91E-08,*
CEP250,8435,5.91,5.18,5.41,3.31,4.33,3.58,0.638475518,5.50E-08,5.50E-08,*
SERPINB9,4143,3.95,3.44,3.87,2.1,1.83,2.22,0.938623947,5.35E-08,5.35E-08,*
HK2,5591,4.24,3.95,4.2,2.55,2.6,2.71,0.724544904,3.79E-08,3.79E-08,*
BST1,1509,18.53,16.55,18.36,8.32,11,10.1,0.827978246,3.75E-08,3.75E-08,*
HLA-A-7,1611,16.3,20.17,18.72,12.21,10.52,11.04,0.777436577,3.12E-08,3.12E-08,*
SBNO2-2,4536,2.39,4.4,3.43,1.65,1.35,0.94,1.378815418,2.54E-08,2.54E-08,Up
PDZRN3,3754,5.21,5.05,5.18,3.04,3.15,2.89,0.832785676,2.37E-08,2.37E-08,*
DAAM2,5189,5.32,4.7,4.4,2.46,3.44,3.07,0.811475663,2.04E-08,2.04E-08,*
SPSB1,3106,9.78,11.78,11.25,7.8,5.77,6.41,0.783372741,1.85E-08,1.85E-08,*
STK32B,3395,8.84,7.87,8.29,5.84,5.34,5.25,0.692952571,1.73E-08,1.73E-08,*
HLA-C-3,1538,27.83,33.3,30.61,21.41,20.31,20.84,0.620073404,1.71E-08,1.71E-08,*
HLX,2237,9.5,12.56,10.02,5.63,5.76,6.56,0.904665389,1.63E-08,1.63E-08,*
CARMIL1,5480,2.03,1.4,1.36,0.62,0.58,0.63,1.452542858,1.54E-08,1.54E-08,Up
BCL3,1874,8.74,10.38,9.2,4.78,4.63,5.58,0.991108396,1.43E-08,1.43E-08,*
SGSM2,4604,8.01,8.73,8.86,5.48,5.66,6.23,0.647592535,1.37E-08,1.37E-08,*
CAMK1D,4476,1.41,1.59,1.55,0.59,0.81,0.68,1.365090259,1.36E-08,1.36E-08,Up
REEP2,2129,20.74,23.07,22.75,16.59,14.96,13.99,0.614256444,1.32E-08,1.32E-08,*
ABAT,4756,1.31,1.29,1.07,0.27,0.42,0.42,1.806871105,1.29E-08,1.29E-08,Up
BIN1,2074,17.16,18.42,19.09,11.63,12.73,12.43,0.637099474,1.27E-08,1.27E-08,*
HSPA2,2497,11.1,13.69,10.06,6.21,6.89,7.18,0.848361482,1.26E-08,1.26E-08,*
PCK2,2155,7.52,8.54,7.56,4.78,3.62,3.51,1.049581388,1.25E-08,1.25E-08,Up
NCKAP5L,4913,9.15,11,11.22,6.66,7.76,6.99,0.625116409,1.22E-08,1.22E-08,*
OBSL1,3352,15.64,17.15,17.76,12.3,11.81,9.21,0.683038222,1.16E-08,1.16E-08,*
GH1,768,22.92,0,0,0,0,0,22.30914609,1.14E-08,1.14E-08,Up
DNASE2,1938,18.29,21.4,20.37,13.47,13.7,11.49,0.701582226,1.09E-08,1.09E-08,*
MTHFR,7075,3.8,3.94,3.38,2.48,2.26,2.12,0.763110149,1.08E-08,1.08E-08,*
HLA-B-3,882,49.17,63.07,45.86,31.05,27.97,30.89,0.911206426,1.03E-08,1.03E-08,*
PCK2-2,2122,8.64,8.8,10.47,5.72,3.98,4.33,1.046909427,1.02E-08,1.02E-08,Up
P2RX4,1764,14.78,13.71,15.58,8.75,9.1,7.77,0.811526842,8.09E-09,8.09E-09,*
PSMB10,977,37.91,42.17,38.1,22.34,27.39,20.77,0.81016712,7.49E-09,7.49E-09,*
GASK1B,4752,3.16,1.74,2.6,1.19,0.72,0.73,1.593596881,6.65E-09,6.65E-09,Up
VLDLR,4407,1.98,2.02,1.63,0.86,1.42,0.96,1.26074249,6.31E-09,6.31E-09,Up
PAPPA,10238,4.57,3.78,3.38,2.74,2.45,2.69,0.695240858,6.20E-09,6.20E-09,*
SHISA3,2322,4.27,3.71,2.84,0.9,0.78,1.54,1.825104674,4.96E-09,4.96E-09,Up
ITGA7,4016,4.2,4,3.85,1.76,2.41,1.86,1.069824442,4.13E-09,4.13E-09,Up
ZNF219,3055,5.49,7.06,6.35,3.44,3.5,3.04,1.002054442,3.21E-09,3.21E-09,Up
HBD,620,11.23,10.97,8.43,1.41,0.66,2.33,2.87912557,3.20E-09,3.20E-09,Up
CSDC2,2515,14.69,16.98,15.06,8.83,9.99,10.94,0.72159994,3.16E-09,3.16E-09,*
SSH3,2637,10.08,11.02,11.07,5.96,7.48,5.56,0.848990719,2.95E-09,2.95E-09,*
TSLP,2353,2,2.4,1.7,0.51,0.42,0.44,2.205893783,2.75E-09,2.75E-09,Up
PARD3B,7836,4.37,3.88,4.23,2.54,2.73,2.83,0.6879187,2.27E-09,2.27E-09,*
CADM1,8588,7.43,7.03,7.36,5.05,4.47,5.67,0.590769485,1.83E-09,1.83E-09,*
MATN2,4106,7.91,7.37,7.27,4.06,4.83,4.97,0.773178692,1.77E-09,1.77E-09,*
APOL3,2224,2.8,2.41,3.12,0.92,0.54,0.68,2.043767206,1.75E-09,1.75E-09,Up
ADM2,4286,2.44,2.99,2.31,1.17,1.05,1.06,1.30996658,1.44E-09,1.44E-09,Up
FGFR4,2990,2.26,2.61,2.3,0.88,0.81,0.68,1.665124774,1.34E-09,1.34E-09,Up
ARRB1,7335,2.88,2.72,2.59,1.57,1.41,1.63,0.896526619,1.32E-09,1.32E-09,*
CDC42EP2,1964,19.39,20.74,19.65,12.73,13.55,13.31,0.662726455,1.27E-09,1.27E-09,*
CRYBG1,9110,1.5,1.38,1.64,0.77,0.71,0.49,1.260093649,1.25E-09,1.25E-09,Up
HSD17B2,1372,11.96,10.02,10.65,5.84,4.11,5.43,1.224028109,1.10E-09,1.10E-09,Up
TTC28,11819,3.54,3.49,3.43,2.38,2.23,2.52,0.621547647,7.97E-10,7.97E-10,*
ADORA2B,1518,8.64,10.69,9.55,3.68,4.91,3.13,1.366361382,7.61E-10,7.61E-10,Up
PITPNM2,6434,6.13,6.65,6.4,5.16,4.76,4.57,0.609234454,7.53E-10,7.53E-10,*
PNMA8A,3684,4.84,4.85,4.67,2.44,2.74,2.41,0.987950059,6.65E-10,6.65E-10,*
VCAM1,2825,0.74,1.08,0.94,0,0.02,0.04,5.929665834,5.72E-10,5.72E-10,Up
HRH1,4509,8.42,8.49,8.56,4.76,4.84,6.19,0.767106336,5.67E-10,5.67E-10,*
MSX2,2198,6.56,7.24,6.04,2.69,3.06,3.32,1.196601809,5.52E-10,5.52E-10,Up
PIK3CD,5351,6.66,7.58,7.08,4.31,5.11,4.13,0.737775235,5.32E-10,5.32E-10,*
TMEM176A,1033,2.08,3.94,3.67,0.11,0.06,0.13,5.120915101,3.19E-10,3.19E-10,Up
PSME1,967,78.93,69.69,75.77,50.66,55.01,48.05,0.61038376,3.11E-10,3.11E-10,*
PSME1-2,967,78.93,69.69,75.77,50.66,55.01,48.05,0.61038376,3.11E-10,3.11E-10,*
RASSF2,5391,4.36,3.09,4.14,1.58,1.72,2.18,1.158915735,2.92E-10,2.92E-10,Up
COL5A3,6027,4.2,5.94,6.13,2.68,3.17,2.84,0.954958969,2.17E-10,2.17E-10,*
GCNT4,5062,2.65,2.28,2.94,1.07,1.05,1.2,1.273261653,1.70E-10,1.70E-10,Up
MOCOS,6182,1.41,1.42,1.6,0.37,0.62,0.5,1.640328746,1.65E-10,1.65E-10,Up
F2RL2,3375,18.52,14.94,15.61,10.62,10.39,11.34,0.673611873,1.38E-10,1.38E-10,*
RIPOR2,3881,2.46,2.86,2.37,0.8,0.87,0.79,1.580531427,1.38E-10,1.38E-10,Up
VSTM4,6171,5.59,5.99,5.65,3.63,3.9,3.72,0.700998996,1.35E-10,1.35E-10,*
LAMA1,8751,12.37,10.41,11.75,7.2,9.08,8.05,0.658614338,1.24E-10,1.24E-10,*
MR1,2929,5.98,5.69,7.41,2.92,4.08,4.51,0.905479256,9.54E-11,9.54E-11,*
DDIT4,1744,7.79,9.59,8.68,4.09,3.86,3.13,1.299316807,8.97E-11,8.97E-11,Up
DTX3L,5768,8.4,7.13,8.85,5.06,5.18,5.41,0.707480272,7.83E-11,7.83E-11,*
SLC6A9,3062,6.18,8.15,7.51,3.9,3.77,3.82,1.039704936,7.22E-11,7.22E-11,Up
CACNA1A,7998,1.86,2.15,1.88,1.02,0.85,0.94,1.169272576,3.61E-11,3.61E-11,Up
ROR1,4807,4.05,2.6,3.45,1.14,1.74,1.84,1.294989909,3.58E-11,3.58E-11,Up
KIF13B,8439,4.21,3.98,4.32,2.42,2.62,2.78,0.735715065,3.45E-11,3.45E-11,*
C1RL,3349,4.3,4.19,4.58,1.9,1.71,2.12,1.245851593,3.20E-11,3.20E-11,Up
C1RL-2,3349,4.3,4.19,4.58,1.9,1.71,2.12,1.245851593,3.20E-11,3.20E-11,Up
ITGA8,6547,3.75,3.58,4.38,2.26,2.06,1.84,0.947211601,2.96E-11,2.96E-11,*
LSS,3613,29.29,31.58,26.6,20.56,22.79,17.64,0.654101045,2.78E-11,2.78E-11,*
PCBP3,2725,9.49,10.07,9.37,5.08,5.27,4.81,0.910449132,2.18E-11,2.18E-11,*
GDF6,3712,4.06,3.48,4.2,1.69,1.66,1.85,1.243966518,2.08E-11,2.08E-11,Up
IFI35,1185,18.26,18.73,16.99,7.52,9.53,8.48,1.145242993,1.93E-11,1.93E-11,Up
EEPD1,4655,4.14,4.86,4.08,1.8,2.41,1.95,1.154037241,1.13E-11,1.13E-11,Up
GALNT15,4427,7.84,7.23,5.36,2.69,3.68,3.71,1.061777961,1.10E-11,1.10E-11,Up
PPARG,2026,20.68,21.5,18.74,11.3,12.26,12.53,0.758266744,1.03E-11,1.03E-11,*
FBLN2,4151,9.02,9.59,8.67,5.78,5.44,5.77,0.748087541,1.02E-11,1.02E-11,*
AEBP1,4095,13.3,15.22,13.93,9.34,9.98,8.97,0.652201863,9.74E-12,9.74E-12,*
DIPK1A,2284,23.84,21.38,22.8,13.74,14.32,18.14,0.721737113,9.36E-12,9.36E-12,*
MCC,8178,3.89,3.66,3.4,1.83,1.71,1.91,0.995518095,6.99E-12,6.99E-12,*
TNS2,4717,13.46,14.4,14.35,9.48,9.36,10.42,0.586158659,6.20E-12,6.20E-12,*
SERPING1,1830,9.93,10.95,9.35,4.93,4.09,4.73,1.203187643,5.53E-12,5.53E-12,Up
GPRC5B,4105,3.28,3.54,3.77,1.38,1.78,1.52,1.256622235,5.32E-12,5.32E-12,Up
VEGFA,3167,12.31,12.14,11.65,6.77,7.79,8.04,0.799914277,1.92E-12,1.92E-12,*
WFDC1,1277,44.92,47.23,43.1,28.13,30.31,28.83,0.70281089,1.01E-12,1.01E-12,*
C7,5716,1.5,1.11,1.31,0.33,0.38,0.23,2.1182244,9.44E-13,9.44E-13,Up
CHST15,4501,4.08,4.28,3.44,1.69,2.01,1.7,1.252018796,8.98E-13,8.98E-13,Up
BCAM,2618,23.89,24.17,21.31,13.9,15.71,15.43,0.710463031,6.59E-13,6.59E-13,*
CDCP1,4159,3.09,3.45,2.88,1.01,1.53,1.57,1.344518108,6.09E-13,6.09E-13,Up
TP53,2515,29.53,31.17,30.1,20.99,22.07,19.48,0.611357724,2.97E-13,2.97E-13,*
FNBP1,4631,11.49,10.04,10.79,6.85,7.24,6.93,0.683606259,2.79E-13,2.79E-13,*
IL16,4947,0.8,0.98,1.09,0.15,0.16,0.29,2.627329282,2.34E-13,2.34E-13,Up
CASS4,4016,10.48,10.79,10.18,6.91,6.28,6.5,0.745064445,2.18E-13,2.18E-13,*
HLA-C-4,1301,55.5,59.13,57.87,33.17,39.82,33.69,0.717168979,2.10E-13,2.10E-13,*
SECTM1,2005,9.85,11.1,10.41,4.28,5.32,4.55,1.215153357,1.53E-13,1.53E-13,Up
C1QTNF1,2914,13.86,14.82,14.26,9.19,8.18,8.08,0.815277345,1.17E-13,1.17E-13,*
TMEM65,5621,10.38,8.95,9.83,5.72,4.44,6.14,0.858896013,1.16E-13,1.16E-13,*
GLIPR2,1892,40.8,35.9,35.82,23.03,23.87,26.32,0.696386593,9.24E-14,9.24E-14,*
LMCD1,4465,5.69,5.52,5.66,3.08,2.68,2.7,1.079508745,4.54E-14,4.54E-14,Up
LPCAT3,2235,18.34,16.98,18.26,9.75,10.59,10.9,0.846250575,4.42E-14,4.42E-14,*
COL15A1,5223,1.52,1.17,1.3,0.24,0.34,0.26,2.31885114,4.19E-14,4.19E-14,Up
ITGBL1,2680,13.5,12.2,13.84,6.71,7.68,7.62,0.860595941,3.54E-14,3.54E-14,*
SLC12A7,5300,3.67,3.53,3.74,1.5,1.84,1.57,1.227254075,2.24E-14,2.24E-14,Up
PTGER2,2588,21.32,20.31,19.04,12.61,11.36,12.42,0.79768085,1.42E-14,1.42E-14,*
PODN,3002,2.22,1.96,1.84,0.4,0.28,0.31,2.688939746,5.99E-15,5.99E-15,Up
KIAA0319L,4156,18.1,19.87,18.12,12.16,12.79,12.01,0.650495116,3.81E-15,3.81E-15,*
EPHX1,1652,52.01,52.76,54.78,35.14,36.39,36.91,0.618151572,5.87E-16,5.87E-16,*
PITX1,2310,58.23,79.08,67.12,43.2,42.34,40.07,0.787736902,4.72E-16,4.72E-16,*
ASNS,2190,42.16,39.43,38.88,27.1,23.11,25.73,0.725957501,4.14E-16,4.14E-16,*
ST3GAL1,6342,16.88,18.26,15.81,11.19,11.73,13.07,0.623617515,2.26E-16,2.26E-16,*
OXTR,4273,31.54,25.77,30.85,20.83,18.37,19.24,0.674392728,1.55E-16,1.55E-16,*
IFITM2,1006,130.19,157.52,146.09,89.58,97.69,93.23,0.695671645,1.33E-16,1.33E-16,*
LIMD1,9693,10.47,12.69,9.61,7.14,7.65,7.87,0.60427669,1.20E-16,1.20E-16,*
TRANK1,10119,2.12,2.17,1.79,0.68,0.76,0.88,1.447392551,1.00E-16,1.00E-16,Up
TUFT1,3049,16.22,16.93,15.21,9.15,9.43,9.79,0.841373424,4.24E-17,4.24E-17,*
CYTL1,1002,19.06,14.38,16.49,4.75,5.48,3.94,1.887707433,3.67E-17,3.67E-17,Up
KLHL29,4276,7.62,8.07,6.74,3.77,3.91,3.64,1.108160084,2.78E-17,2.78E-17,Up
ALPL,2376,5.12,6.58,4.69,1.27,1,1.72,2.075506984,2.08E-17,2.08E-17,Up
STAT2,4222,19.19,20.37,20.44,13.63,13.67,13.78,0.639663527,1.72E-17,1.72E-17,*
SLC15A3,2396,5.93,6.26,6.04,1.75,2.27,1.68,1.759525113,1.67E-17,1.67E-17,Up
SHISAL1,6853,3.65,3.77,3.99,1.75,1.75,1.93,1.140612667,1.66E-17,1.66E-17,Up
SHROOM2,4559,3.78,4.03,3.75,1.54,1.45,1.47,1.405838141,1.19E-17,1.19E-17,Up
HLA-A-3,1168,263.67,325.82,267.38,189.32,180.68,176.84,0.696572119,9.74E-18,9.74E-18,*
ADAMTS7,5390,7.29,8.12,6.35,3.36,3.66,3.89,1.07041289,7.24E-18,7.24E-18,Up
MRGPRF,2132,61.29,74.88,69.17,42.19,46.6,43.12,0.7087442,6.39E-18,6.39E-18,*
GDF5,2368,4.05,4.2,3.48,0.59,0.95,0.57,2.539069232,5.60E-18,5.60E-18,Up
HLA-B-5,1536,73.25,74.25,75.67,39.62,51.92,41.12,0.823571829,5.20E-18,5.20E-18,*
LDAF1,1614,31.64,26.22,28.31,12.71,15.54,15.8,1.000393257,4.76E-18,4.76E-18,Up
TXNIP,2905,27.47,28.78,26.16,15.83,17.2,18.13,0.755614393,2.64E-18,2.64E-18,*
NAV2,10242,5.75,5.23,5.35,3.53,3.69,3.35,0.775008483,6.36E-19,6.36E-19,*
NUPR1,5294,10.28,11,10.85,6.27,6.62,5.73,0.853939772,6.00E-19,6.00E-19,*
LRIG1,4773,11.76,12.56,12,6.38,7.57,7.17,0.880813865,5.55E-19,5.55E-19,*
CORIN,3181,13.25,11.76,12.64,5.43,6.71,5.37,1.154872495,5.20E-19,5.20E-19,Up
CYTH3,4477,25.73,27.29,23.4,16.59,16.72,16.98,0.670840808,4.65E-19,4.65E-19,*
CYB5A,3186,17.63,16.4,16.3,10.2,7.94,9.41,0.94055181,4.23E-19,4.23E-19,*
ST6GALNAC6,2361,42.54,48.99,46.07,30.06,30.09,27.25,0.727273574,3.97E-19,3.97E-19,*
KSR1,5836,6.97,7.52,7.51,3.96,4.04,3.88,0.93088089,3.30E-19,3.30E-19,*
PLEKHA4,2998,14.03,16.3,16.32,8.55,7.4,7.31,1.079818217,1.65E-19,1.65E-19,Up
HLA-E,2548,32.85,33.68,34.27,22.74,21.07,20.82,0.715567643,9.74E-20,9.74E-20,*
IMPA2,1441,19.59,25.47,23.66,10.05,8.74,7.95,1.43001486,8.59E-20,8.59E-20,Up
MFAP4,1822,40.53,41.18,44.08,25.13,26.39,25.88,0.767517471,8.57E-20,8.57E-20,*
ARHGAP28,4075,1.84,2.22,2.69,0.37,0.67,0.57,2.256545067,4.93E-20,4.93E-20,Up
DEPP1,2120,7.01,7.43,7.56,1.72,1.54,2.46,2.015887484,4.16E-20,4.16E-20,Up
HEBP1,1159,98.29,103.84,104.2,67.75,67.12,68.13,0.660106738,3.76E-20,3.76E-20,*
LOXL3,3508,15.73,18.43,17.48,10.1,9.55,10.33,0.886392326,3.35E-20,3.35E-20,*
IRF1,3534,15.68,17.69,16.81,9.21,9.64,9.61,0.899525804,1.59E-20,1.59E-20,*
SEMA3B,3207,8.26,9.97,9.34,4.01,4.2,3.42,1.316441032,1.12E-20,1.12E-20,Up
ALDH2,9559,6.98,7.3,7.38,4.35,4.53,4.49,0.763090306,6.52E-21,6.52E-21,*
VSIR,4714,4.63,4.74,4.68,1.34,1.86,1.75,1.5713407,4.31E-21,4.31E-21,Up
DPP4,3572,12.48,11,13.64,5.2,5.94,6.25,1.162753773,4.12E-21,4.12E-21,Up
RDH10,3585,21.55,17.23,19.51,10.73,10.66,12.07,0.911508698,3.73E-21,3.73E-21,*
PLPP3,3273,37.06,34.37,33.71,21.79,21.91,24.01,0.702883824,2.77E-21,2.77E-21,*
PKDCC,2485,24.23,28.52,23.38,14.08,13.14,12.86,0.993025291,2.34E-21,2.34E-21,*
HLA-C-5,1599,225.64,271.75,251.01,170.03,172.49,170.47,0.616253895,1.58E-21,1.58E-21,*
FIBIN,2976,12.42,11.99,10.94,5.55,4.68,5.54,1.232123581,9.81E-22,9.81E-22,Up
FHL1,2334,73.45,75.25,71.57,50.69,44.92,51.87,0.655670825,7.36E-22,7.36E-22,*
TOX,4076,5.73,6.97,6.76,2.68,2.41,2.42,1.440815577,2.90E-22,2.90E-22,Up
PMP22,1749,57.64,53.97,49.76,32.53,26.62,30.6,0.917478799,2.59E-22,2.59E-22,*
ASS1,1532,22.6,26.52,24.36,10.48,10.67,11.1,1.243121672,1.64E-22,1.64E-22,Up
DCHS1,10587,5.22,5.25,4.96,2.74,3.01,2.83,0.92325899,8.14E-23,8.14E-23,*
APOL1,2807,5.21,4.86,5.64,1.11,1.04,1.03,2.262778755,4.21E-23,4.21E-23,Up
RAB11FIP1,6644,8.19,9.16,9.22,4.3,5.21,5.01,0.98717756,2.51E-23,2.51E-23,*
SHANK2,10903,2.65,2.78,2.9,1.22,1.36,1.22,1.242198789,1.98E-23,1.98E-23,Up
FAM20C,3291,31.85,35.34,32.23,19.67,19.85,21.13,0.762729621,1.71E-23,1.71E-23,*
CNTNAP1,5536,12.66,14.77,14.36,7.42,8.2,7.21,0.938712924,1.20E-23,1.20E-23,*
UBA7,3304,6.56,7.87,7.44,1.85,2.64,2.34,1.747545123,7.60E-24,7.60E-24,Up
FAM20C-2,3683,34.25,37.7,34.52,21.39,21.56,22.89,0.723166911,8.21E-25,8.21E-25,*
TNFRSF21,3595,13.02,14.26,13.94,6.63,7.27,6.6,1.074310605,4.77E-25,4.77E-25,Up
GRK5,6789,8,7.54,7.32,3.97,4.03,4.05,0.992638163,2.69E-25,2.69E-25,*
BMP4,1834,8.7,10.39,9.09,2.18,2.75,1.9,2.194445629,2.09E-25,2.09E-25,Up
TNFRSF19,4079,14.78,14.25,14.18,8.07,7.38,8.12,0.957694401,2.00E-25,2.00E-25,*
BDKRB2,3537,14.19,15.57,13.1,9.42,7.9,8.16,1.002225141,9.38E-26,9.38E-26,Up
IRAG1,6011,15.3,15.31,14.23,8.96,9.17,9.38,0.801978049,7.71E-26,7.71E-26,*
ABCC1-2,5854,29.76,29.21,24.99,15.18,17.35,15.68,0.803711071,1.67E-26,1.67E-26,*
PRSS12,4534,30.53,29.62,29.38,20.63,19.09,16.84,0.758336034,1.47E-26,1.47E-26,*
ABCC3,4325,22.73,23.29,20.84,15.28,14.36,13.81,0.758955038,9.44E-27,9.44E-27,*
ABCC1,6241,26.2,25.8,27.32,16.54,18.09,16.26,0.714899839,4.63E-27,4.63E-27,*
ICAM1,2967,9.06,8.69,7.46,2.87,2.72,2.52,1.702085978,4.11E-27,4.11E-27,Up
PIM1,2703,10.93,12.48,11.2,3.5,3.92,4.6,1.594034061,3.66E-27,3.66E-27,Up
ARID5B,6963,36.93,32.37,35.85,22.72,22.57,23.99,0.669240804,1.43E-27,1.43E-27,*
LAMA5,11284,2.01,2.04,2.11,0.64,0.73,0.72,1.630746396,1.30E-27,1.30E-27,Up
OSMR,4760,46.23,41.11,40.02,26.94,28.76,29.78,0.715852137,4.29E-28,4.29E-28,*
CBS,2502,27.26,29.07,28.02,14.75,15.08,15.47,0.960726802,2.08E-28,2.08E-28,*
FADS2,3118,87.73,101.84,97.43,59.67,63.46,63.79,0.689040784,1.74E-28,1.74E-28,*
TMEM158,1822,54.13,73.47,61.09,31.03,29.09,27.65,1.170925692,1.16E-28,1.16E-28,Up
FARP1,10137,32.86,33.57,32.9,21.72,23.93,23.46,0.592128919,1.13E-28,1.13E-28,*
GBP2,4088,4.61,4.38,4.7,0.81,1.15,0.58,2.492369295,2.76E-29,2.76E-29,Up
TMEM119,2675,13.9,14.73,14.23,4.99,5.32,6.22,1.435662028,4.99E-30,4.99E-30,Up
GPRC5A,6566,11.47,11.42,11.24,4.78,6.13,5.51,1.123690099,3.85E-30,3.85E-30,Up
CEBPD,1252,51.9,73.48,55.77,23.64,20.32,22.39,1.516014627,2.30E-30,2.30E-30,Up
C1orf198,3736,40.81,40.17,37.28,24.6,24.12,25.23,0.743910852,1.98E-30,1.98E-30,*
UBE2L6,1218,54.95,60.02,58.8,22.56,28.54,25.18,1.254344343,1.31E-30,1.31E-30,Up
IGFBP4,2205,880.58,996.37,940.93,646.85,672.13,598.69,0.622602319,1.02E-30,1.02E-30,*
ATF3,1904,14.7,14.89,14.96,4.47,5.06,5.34,1.667227362,5.52E-31,5.52E-31,Up
VAMP5,663,195.26,237.09,228.07,101.49,108.76,88.85,1.204527482,3.65E-31,3.65E-31,Up
HLA-A,1549,199.9,213.08,217.45,140.41,144.32,142.64,0.627713577,3.21E-32,3.21E-32,*
TEK,4559,16.99,15.6,17.45,9,8.38,8.37,1.023774058,2.62E-32,2.62E-32,Up
HGF,3646,44.26,38.38,41.55,19.2,17.12,19.43,1.00565941,1.42E-32,1.42E-32,Up
MGARP,1224,36.01,35.21,37,14.44,14.17,12.5,1.461631115,1.29E-32,1.29E-32,Up
THSD4,8892,21.78,18.73,20.1,11.93,12.88,12.72,0.785922725,3.52E-33,3.52E-33,*
NBPF3,3639,15.49,15.12,14.49,7.91,7.21,8.35,1.107074717,1.25E-33,1.25E-33,Up
SDC3,5153,75.55,82.7,80.03,50.92,54.83,54.07,0.652013958,8.02E-34,8.02E-34,*
ANO1,4350,9.64,8.19,9.31,3.94,3.48,3.73,1.390239421,7.12E-34,7.12E-34,Up
APOL2,2241,27.35,26.8,29.07,13.44,12.6,13.62,1.147854554,3.90E-34,3.90E-34,Up
LTBP4,4036,20.29,25.73,23.06,10.12,11.22,10.95,1.137943727,2.63E-34,2.63E-34,Up
DTX4,5660,10.32,9.24,9.24,4.66,4.2,4.14,1.234289342,1.21E-34,1.21E-34,Up
GAS6,2508,615.83,700.21,660.86,450.23,458.4,426.71,0.633463238,2.57E-35,2.57E-35,*
PKIG,1158,98.65,103.32,102.72,56.83,55.89,54.83,0.927114518,8.57E-36,8.57E-36,*
LGALS3BP,2202,80.1,84.37,83.26,52.71,49.43,48.19,0.787527038,1.34E-36,1.34E-36,*
STAT3,4748,48.85,48.51,47.77,28.56,28.61,30.12,0.731103579,2.82E-37,2.82E-37,*
PSAT1,2206,72.19,66.94,70.89,41.98,42.51,41.37,0.804804554,2.81E-37,2.81E-37,*
NXN,2930,54.05,58.28,53.01,31.6,33.1,32.91,0.840496169,8.51E-38,8.51E-38,*
APOL6,10065,6.31,5.29,5.64,2.33,2.19,2.5,1.366467128,1.68E-38,1.68E-38,Up
AKR1C1,6543,9.8,9.37,8.83,4.16,4.35,3.99,1.230762121,1.03E-38,1.03E-38,Up
ZNF469,11107,11.17,12.27,10.71,5.52,6.38,6.72,1.022547419,4.52E-39,4.52E-39,Up
ADM,1492,98.62,106.06,98.62,57.05,57.89,53.89,0.911511464,4.39E-39,4.39E-39,*
SMAD3,6410,50.35,51.32,49.18,32.51,34.3,33.81,0.653476999,3.09E-39,3.09E-39,*
TMEM130,3489,11.4,10.85,11.49,3.55,3.87,3.82,1.562938399,1.92E-39,1.92E-39,Up
TMTC1,8866,31.86,29.16,31.98,19.21,17.8,19.9,0.776628465,1.23E-39,1.23E-39,*
THY1,4502,203.1,224.35,218.5,148.03,148.54,149.17,0.602901533,7.73E-40,7.73E-40,*
