"GeneID","Con_1","Con_2","Con_3","DMEM_1","DMEM_2","DMEM_3","I6_1","I6_2","I6_3","R2_1","R2_2","R2_3","logFC","Pvalue","FDR"
"CLIC3",50.63,48.7,50.63,34.46,37.28,35.43,32.63,38.76,42.57,30.82,31.84,31.84,0.689432932,1.21e-05,1.21e-05
"APOBEC3F",9.38,8.88,8.88,4.26,4.52,4.52,4.16,4.38,4.38,5.15,7.45,6.51,0.545781986,0.003969839,0.003969839
"AKAP7",1.15,1.82,0.7,1.67,1.67,1.8,1.89,1.82,1.89,1.24,1.22,1.24,-0.253129026,0.53679243,0.53679243
"OR11G2-2",0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0,0,0,-0.684582037,0.851377671,0.851377671
"FAM95B1",0.03,0.03,0.03,0.07,0.07,0.1,0.07,0.07,0.07,0.05,0.05,0.04,-0.64489098,0.818287661,0.818287661
"PRR3-5",0.91,0.89,0.91,0.98,0.87,0.87,0.92,0.89,0.92,0.78,0.75,0.73,0.197071121,0.659978844,0.659978844
"RPS29",5366.02,5022.06,5022.06,3139.28,3250.98,2971.49,2676.15,2798.43,2983.4,3772.5,3772.5,3766.54,0.904112379,2.14e-09,2.14e-09
"BNC2",0,0,0,0,0,0,0,0,0,0,0,0,2.477173484,0.536103595,0.536103595
"GADD45A",33.54,32.6,31.29,43.73,43.73,44.26,39.53,39.92,40.61,38.86,40.41,39.73,-0.328011837,0.000857603,0.000857603
"FAM20B",9.75,12.35,11.09,14.05,13.92,14.05,15.75,15.75,15.58,15.01,14.43,14.43,-0.267768511,0.001971614,0.001971614
"FZD4-DT",0.5,0.5,0.57,0.4,0.4,0.33,0.2,0.41,0.73,0.6,0.64,0.6,-0.048604053,0.952118989,0.952118989
"ARMH4",0.85,0.75,0.57,0.9,0.9,0.9,0.83,1.08,0.96,0.82,0.42,0.65,-0.360074973,0.311007087,0.311007087
"TRAK1",14.66,14.66,14.66,18.22,17.99,18.13,18.81,18.81,18.94,17.55,17.55,17.55,-0.275426427,9.37e-05,9.37e-05
"MICALL2",6.73,6.73,6.77,4.86,4.86,4.86,4,4.52,4.89,4.8,4.77,4.8,0.559769744,0.001111235,0.001111235
"PLCG1",22.36,22.38,22.38,23.35,22.51,24.65,24,23.68,24.52,24.87,25.42,25.42,0.058625835,0.445919309,0.445919309
"HNF4G",0.13,0.13,0.13,0.17,0.17,0.17,0.14,0.12,0.08,0.18,0.18,0.18,-0.276108706,0.648519538,0.648519538
"TEN1",42.39,40.33,40.33,26.73,31.34,22.18,27.34,27.15,27.15,31.34,31.42,31.42,0.621276815,0.001779795,0.001779795
