"GeneID","Con_1","Con_2","Con_3","DMEM_1","DMEM_2","DMEM_3","I6_1","I6_2","I6_3","R2_1","R2_2","R2_3","logFC","Pvalue","FDR"
"DCAF7",64.44,64.44,64.44,62.82,63.68,62.82,65.06,65.06,65.06,62.03,68.45,65.23,-0.082665292,0.113838664,0.113838664
"NXNL2-2",0.17,0.17,0.25,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.15,0.07,2.958944068,0.269576601,0.269576601
"RSRP1",2.14,2.14,1.4,3.42,3.34,3.34,3.78,3.39,2.78,3.58,2.72,3.11,-0.134605839,0.740673075,0.740673075
"CMC2",33.84,33.84,33.84,30.24,33.85,26.01,30.69,29.18,28.19,34.44,35.65,35.65,0.088997141,0.566131273,0.566131273
"PELI2",0.15,0.14,0.17,0.29,0.27,0.33,0.25,0.21,0.23,0.19,0.22,0.2,-0.674098578,0.130882726,0.130882726
"ENTPD3",1.43,1.29,1.23,1.4,1.12,1.73,1.48,1.45,1.45,1.45,1.49,1.51,-0.031217271,0.919914605,0.919914605
"RIC1",1.36,1.36,1.34,2.38,2.37,2.37,2.79,2.79,2.87,2.2,2.15,2.07,-0.377652697,0.106575518,0.106575518
"GBF1",28.4,28.4,29.19,31.65,30.8,32.11,32.19,33.16,34.18,35.73,35.73,36.45,-0.079838588,0.367772276,0.367772276
"TAF7L",0.05,0.11,0.05,0.05,0.03,0.08,0.02,0.02,0.03,0,0,0,0.155787139,0.929681546,0.929681546
"BICC1",1.51,1.63,1.63,3.38,3.27,3.38,3.07,3.07,3.07,2.44,1.79,2.06,-0.940643012,8.84e-08,8.84e-08
"RPGRIP1L",1.88,1.62,2.05,2.37,1.71,3.21,1.38,1.44,1.44,2.45,2.68,2.45,-0.261431307,0.343307365,0.343307365
"MBTD1",0.98,0.98,0.8,2.37,1.82,2.2,2.13,1.98,1.98,1.1,1.22,1.18,-0.821811328,0.013705307,0.013705307
"PUS1",10.95,10.87,10.95,9.38,9.38,9.49,9.36,9.36,9.36,8.77,10.7,9.61,0.345017294,0.001097387,0.001097387
"SPDYE13",0,0,0,0.02,0.03,0.02,0.05,0.07,0.05,0.07,0.09,0.1,0.455031906,0.869848036,0.869848036
"ZNF311-3",0.32,0.18,0.18,0.14,0.14,0.25,0.08,0.13,0.08,0.15,0.06,0.06,0.513649827,0.700650808,0.700650808
"ARHGEF16",1.04,0.95,1.04,0.93,0.89,0.91,0.41,0.58,0.97,1.2,1.2,1.2,0.455583977,0.198825249,0.198825249
"RAE1",62.44,60.69,64.23,57.82,62.39,55.77,62.32,58.85,55.81,65.41,65.41,65.41,0.133745887,0.181058007,0.181058007
"SLC23A2",6.88,6.88,6.94,8.47,7.49,9.04,8.44,8.44,8.44,8.55,8.55,8.54,-0.232732724,0.027771743,0.027771743
"LIN37",17.25,17.25,17.96,13.31,12.3,14.01,10.52,11.98,13.43,13.56,14.05,13.56,0.413028314,0.045301787,0.045301787
"MSX1",0,0,0,0,0,0,0,0,0,0,0,0,1.13719805,0.780480655,0.780480655
"NOXO1-2",0.05,0.04,0.04,0,0,0,0,0,0,0,0,0,2.102552658,0.602043353,0.602043353
"KLF15",0.46,0.46,0.42,0.58,0.41,0.66,0.3,0.27,0.3,0.42,0.42,0.42,-0.065937677,0.893261938,0.893261938
"MTERF2",2.31,3.31,2.91,2.52,1.89,3.04,3.62,3,2.45,1.79,1.89,1.7,0.2500672,0.407193576,0.407193576
"CYB5R2",3.73,3.73,4.12,2.85,3.34,2.46,2.38,2,1.51,2.59,2.33,2.04,0.340147779,0.341243139,0.341243139
"SLC9A2",0.02,0.03,0.03,0.08,0.08,0.08,0,0,0,0.05,0.04,0.04,-0.617075888,0.587200659,0.587200659
"TNFRSF13B",0,0,0,0.08,0.08,0.08,0.04,0.04,0.04,0.04,0.04,0.04,-1.682606339,0.593519599,0.593519599
"LRRC37A2-2",0.37,0.45,0.26,0.21,0.28,0.32,0.5,0.46,0.5,0.17,0.11,0.11,0.283127667,0.675093804,0.675093804
"CCDC137",43.79,43.79,43.79,37.29,38.37,36.15,37.68,37.32,37.68,44.57,44.82,44.57,0.308825637,5.84e-05,5.84e-05
"DPPA2",0.13,0.13,0.13,0.17,0.15,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.100161222,0.936159165,0.936159165
"ANOS1",4.37,3.35,5.19,5.28,5.28,5.26,4.89,4.89,4.89,5.54,5.28,5.1,-0.642328766,4.85e-05,4.85e-05
"NACA2",0.38,0.27,0.21,0.18,0.39,0.26,0.19,0.19,0.19,0.28,0.28,0.18,0.15915902,0.899749567,0.899749567
"MAMDC2",4.61,4.49,4.49,5.99,5.9,5.95,6.23,5.92,5.42,6.01,5.91,5.91,-0.342248235,0.011516523,0.011516523
"POGLUT3",19.41,20.05,20.05,35.5,35.5,36.6,32.13,31.9,31.9,28.92,21.52,24.99,-0.653708482,4e-15,4e-15
"TOP2A",35.15,36.58,36.58,70.6,63.14,75.79,64.16,62.89,61.61,54.37,35.41,44.62,-0.615396002,0.000105961,0.000105961
"IGFBPL1",14.49,14.89,15.56,16.18,14.92,16.92,14.57,13.64,13,15.68,16.9,16.07,-0.023188871,0.809072562,0.809072562
"EEF2K",0.06,0.15,0.2,0.53,0.53,0.61,0.37,0.37,0.37,0,0,0,-1.538765928,0.020927214,0.020927214
"STARD4",5.63,5.63,4.83,10.4,10.4,11.1,8.67,10.11,10.8,7.36,6.69,7.09,-0.6501597,0.00090166,0.00090166
"NUP98",26.92,27.09,27.09,35.24,34.54,36.66,35.41,36.51,36.15,33.81,32.17,32.72,-0.2896878,4.47e-07,4.47e-07
"SPTLC3",4.38,4.5,4.38,5.63,5.63,5.63,5.23,5.42,5.42,4.64,4.64,4.81,-0.389378327,0.010442982,0.010442982
"ATP10D",3.23,3.23,2.98,5.03,4.62,5.45,4.99,4.97,4.99,4.66,4.75,4.66,-0.496486652,0.000269903,0.000269903
"RIF1",2.29,2.29,2.23,5.81,5.13,6.63,4.52,4.58,4.58,4.14,2.13,3.09,-0.716404009,0.093363068,0.093363068
"ARNT2-DT",0.14,0.28,0.2,0,0,0,0.13,0.07,0.07,0.06,0.06,0.07,2.863617915,0.197646525,0.197646525
"UBQLN2",11.38,11.21,11.21,11.92,11.89,11.92,14.68,13.78,13.14,13.42,13.42,13.33,-0.074769973,0.436133976,0.436133976
"MBOAT7-10",0.8,0.8,0.8,6.09,6.09,6.09,6.54,5.93,5.93,3.82,9.46,3.82,-1.169301186,0.705472627,0.705472627
"OST4",511.69,511.69,505.94,433.47,439.05,433.47,445.05,405.84,375.6,420.71,423.84,420.71,0.443600629,1.44e-06,1.44e-06
"ZNF609",6.68,6.68,6.83,7.21,7.21,7.34,7.18,7.18,7.21,7.59,7.65,7.76,-0.032543702,0.720300541,0.720300541
"ATG2B",1.03,1.03,0.98,2.11,2.11,2.17,2.41,2.33,2.17,1.95,1.22,1.54,-0.613912192,0.008565118,0.008565118
"ZNF337",1.16,1.54,0.96,1.99,2.02,1.99,1.89,1.74,1.67,1.58,1.53,1.49,-0.452634161,0.127888862,0.127888862
"RUNDC1",6.33,6.33,6.21,7.22,6.97,7.06,8.23,8.08,7.73,7.95,7.93,7.93,-0.062972199,0.496272349,0.496272349
"PPP1R10-6",3.98,3.95,3.98,4.43,4.43,4.48,4.54,4.54,4.5,4.24,4.4,4.5,-0.052482345,0.691392696,0.691392696
"PBX3",7,8.33,9.63,9.36,9.7,10,12.36,12.36,12.36,8.82,9.18,9.78,-0.258133147,0.045026867,0.045026867
"MSMO1",19.48,19.95,19.48,25.01,24.88,25.01,23.96,22.89,21.06,20.4,20.99,19.78,-0.31388399,0.000266986,0.000266986
"TBC1D19",0.7,0.93,0.93,1.47,1.66,1.14,1.47,1.46,1.47,1.25,0.57,0.96,0.586479182,0.350488114,0.350488114
"CHST10",7.11,7.11,7.11,7.29,7.29,7.25,7.79,7.63,7.63,7.47,7.25,7.6,-0.017111323,0.891132175,0.891132175
"ZNF493",0.24,0.24,0.24,0.38,0.35,0.42,0.49,0.55,0.44,2.38,5.78,2.38,0.465821002,0.617682968,0.617682968
"POLR1H-5",7.32,6.81,6.81,5.01,5.38,4.73,5.88,5.88,5.86,5.5,5.56,5.5,0.426740359,0.195105557,0.195105557
"ZFAND2A",50.04,49.43,51.38,48.52,51.43,47.22,42.52,38.21,39.77,49.92,49.86,49.92,0.106878894,0.3256301,0.3256301
"MAGEA6-DT",0.62,0.62,0.5,0.28,0.28,0.35,0.58,0.59,0.59,1.24,0.94,0.94,1.770288996,0.01965039,0.01965039
"CUEDC1",22.98,22.98,24.33,18.57,18.25,18.57,18.59,18.4,18.4,16.72,17.56,17.56,0.303171299,0.007103851,0.007103851
"CCDC78",0.49,0.54,0.49,0.26,0.19,0.23,0.27,0.27,0.42,0.51,0.51,0.51,0.81476277,0.288666141,0.288666141
"MSH4",0,0,0,0,0,0,0.01,0.02,0.01,0,0,0,2.731509719,0.437443633,0.437443633
"ADAM17",4.03,4.03,3.63,5.75,5.39,6.18,6.06,6.34,6.71,5.88,5.3,5.52,-0.374230522,0.012787476,0.012787476
"DYNC1H1",60.61,60.78,60.78,86.17,82.42,89.47,94.72,95.48,96.04,84.55,78.33,81.25,-0.376974969,7.09e-07,7.09e-07
"PSORS1C1",0.22,0.22,0.31,0,0,0,0,0,0,0.22,0.22,0.22,3.692619491,0.281954805,0.281954805
"OLFML3",0.57,0.57,0.58,0.44,0.83,0.44,0.48,0.48,0.56,0.19,0.2,0.22,0.291982894,0.702434985,0.702434985
"ARID5B",1.11,1.11,1.1,1.81,1.82,1.81,1.89,1.89,1.8,1.55,1.49,1.55,-0.459501324,0.013462864,0.013462864
"NEDD9",6.03,6.78,6.55,7.32,7.32,7.19,6.83,6.94,6.83,6.44,7.15,6.87,-0.133677415,0.207968424,0.207968424
"SSX2IP",4.32,4.32,3.89,8.23,6.89,10.05,7.61,7.84,7.84,8.87,4.88,6.8,-0.512193102,0.007224118,0.007224118
"GREP1",0.04,0.04,0.04,0.11,0.09,0.09,0,0,0,0.065,0.065,0.065,-0.091627075,0.955068455,0.955068455
"SPSB3",13.61,13.61,13.43,12.15,12.06,12.06,11.2,10.79,10.79,9.88,11.53,10.87,0.327582191,0.023626351,0.023626351
"PDZD4",0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,-1.666249112,0.603297067,0.603297067
"MTMR2",9.76,10.36,10.36,18.76,17.61,20.48,17.53,17.86,17.63,15.69,13.18,14.83,-0.680300069,2.79e-08,2.79e-08
"SERPING1",0.18,0.18,0.41,0.18,0.25,0.18,0.29,0.24,0.24,0.15,0.32,0.21,0.436337808,0.719855847,0.719855847
"LRRC57",6.21,6.8,6.62,6.78,6.11,7.54,7.57,6.59,4.91,8.2,8.97,9.43,-0.122551052,0.32852956,0.32852956
"ESYT1",90.49,90.49,91.81,84.49,86.74,85.47,91.79,92.95,94.73,92.53,97.43,95.16,0.120960634,0.165943018,0.165943018
"DUSP21",0,0,0,0,0,0,0,0,0,0,0,0,1.898634129,0.639269758,0.639269758
"EIF2B4",30.87,30.87,31.39,27.57,27.57,27.47,27.62,27.11,28.47,28.9,28.23,29.36,0.201398639,0.032688821,0.032688821
"PALD1",0,0,0,0,0,0,0.01,0.01,0.02,0.05,0.06,0.05,1.898634129,0.639269758,0.639269758
"DUS4L-BCAP29",0,0,0,0.22,0.22,0.22,0.67,0.67,1.3,0.47,0.36,0.47,-3.880970618,0.258553867,0.258553867
"USP24",3.04,3.34,3.34,7.13,6.72,7.73,6.36,6.51,6.81,6.03,4.31,5.24,-0.747104502,3.16e-05,3.16e-05
"VPS53",7.58,7.6,7.6,10.9,10.9,10.9,9.52,9.52,9.52,10.11,9.85,10.11,-0.29006973,0.000886194,0.000886194
"CACNA2D4",0.14,0.09,0.14,0.51,0.51,0.85,0.07,0.04,0.07,0.79,0.79,0.79,0.452159922,0.582799897,0.582799897
"RNF139",1.65,1.65,1.62,2.1,2.12,2.1,2.3,2.3,2.3,1.83,1.83,1.83,-0.178721256,0.434814019,0.434814019
"WDR41",8.51,11.9,10.04,13.38,13.38,13.38,13.95,13.29,13.66,13,9.7,11.67,-0.330161602,0.02395907,0.02395907
"SLC12A2",3.23,3.43,3.43,5.75,5.39,6,6.13,5.95,5.95,5.4,3.19,4.45,-0.499930893,0.003615027,0.003615027
"ARL4D",25.39,25.39,26.66,17.48,17.51,17.51,18.22,17.89,18.71,20.57,26.99,24.01,0.569584652,5.99e-05,5.99e-05
"CNOT9",29.81,30.54,30.54,32.46,32.46,32.39,29.7,30.89,32.61,34.96,39.81,36.97,0.076265346,0.254970228,0.254970228
"RER1",49.29,49.53,49.53,47.06,49.85,45.6,48.64,49.87,50.45,50.22,52.3,50.91,0.173624528,0.030413367,0.030413367
"KRTCAP2",309.02,244.28,277.14,226.51,226.51,215.97,221.76,221.76,221.76,211.49,208.34,211.49,0.385257835,0.006211863,0.006211863
"ATXN7L2",2.35,2.05,2.6,1.95,1.88,2.01,1.65,1.65,1.56,1.8,1.88,1.88,0.338622792,0.188368312,0.188368312
"TGOLN2",26.21,26.21,26.97,34.33,34.39,34.39,36.54,35.95,34.74,32.42,33.34,33.01,-0.341167373,3.93e-07,3.93e-07
"SHANK2",1.52,1.52,1.51,2.47,2.4,2.31,2.48,2.34,2.11,2.01,2.01,2.04,-0.3458963,0.018723724,0.018723724
"NPSR1",0,0,0,0.08,0.08,0.11,0.04,0.04,0.04,0.04,0.04,0.04,-2.957011027,0.447702366,0.447702366
"RSPH3",1.26,1.26,1.38,1.27,1.28,1.28,1.19,1.19,1.19,1.14,1.14,1.14,-0.038245791,0.869173723,0.869173723
"OR2L2",0,0,0,0,0,0,0.01,0.02,0.01,0.01,0.01,0.01,1.898634129,0.639269758,0.639269758
"SRFBP1",2.76,3.38,3.38,4.78,4.37,4.98,3.71,3.8,3.8,2.98,2.26,2.73,-0.29554947,0.194739679,0.194739679
"DNAL1",1.46,1.59,1.21,2.4,2.46,2.31,1.89,2.09,2.29,1.87,1.54,1.71,-0.675327181,7.86e-06,7.86e-06
"ZC3H4",8.63,9.11,9.52,10.17,9.74,10.66,9.8,10.61,11.2,10.03,10.89,10.44,-0.083816068,0.359508247,0.359508247
"CPXM2",0.02,0.02,0.02,0.03,0.03,0.03,0,0,0,0.03,0.03,0.03,0.080547338,0.97233131,0.97233131
"ANKHD1-EIF4EBP3",3.93,3.93,4.13,5.59,5.67,5.74,6.25,5.96,5.96,4.98,4.89,4.89,-0.547765382,0.000528539,0.000528539
"NUDT15",21.94,22.17,21.94,25.48,25.74,25.14,25.34,24.64,26.33,25.05,23.66,24.2,-0.191584228,0.035138398,0.035138398
"TSEN34-10",0,0,0,0,0,0,0,0,0,0,0,0,-0.008278655,0.998234007,0.998234007
"HOMER2",1.6,2.09,2.09,2.7,2.7,2.96,2.36,2.41,2.41,2.74,2.91,2.91,-0.126212273,0.719738035,0.719738035
"HM13",352.6,343.2,343.2,279.53,279.53,278.39,295.25,305.45,314.58,302.97,304.17,305.3,0.330787697,0.00088196,0.00088196
"ORC3",15.25,14,12.02,16.07,16.07,16.29,12.63,11.92,12.38,10.54,10.34,10.34,-0.050637764,0.67453355,0.67453355
"OSER1-DT",3.5,3.61,3.61,2.45,2.48,2.45,2.24,2.25,2.25,2.69,2.87,2.87,0.771695947,0.001792385,0.001792385
"STAT5A",6.69,5.71,6.26,6.84,6.47,7.04,5.47,5.88,6.13,6.34,6.53,6.34,-0.025307751,0.853316046,0.853316046
"CEP57L1",1.45,1.82,1.82,3.13,2.97,3.25,1.46,2.22,3.05,1.97,1.85,1.85,-0.414990249,0.1172412,0.1172412
"MGME1",14.84,14.84,14.45,19.54,19.54,19.73,19.22,20.46,21.51,16.3,15.74,15.74,-0.265893546,0.006330012,0.006330012
"DRD4-2",0.04,0.04,0.04,0,0,0,0.04,0.04,0.02,0,0,0,-1.128721185,0.710052852,0.710052852
"KDF1",0,0,0,0.03,0.03,0.03,0.015,0.015,0.015,0.015,0.015,0.015,-1.717607262,0.670322572,0.670322572
"PRSS2",0.42,0.4,0.41,0.39,0.36,0.39,0.11,0.15,0.11,0.23,0.48,0.23,-0.434407031,0.692069796,0.692069796
"RELL2",5.78,4.47,5.03,4.16,4.42,4.16,2.9,2.94,2.94,4.08,4.08,4.04,0.429002286,0.068970417,0.068970417
"SPDYE16-2",0.19,0.19,0.19,0.16,0.16,0.16,0.24,0.24,0.44,0.1,0.1,0.1,1.981713839,0.255655336,0.255655336
"PIWIL1",0.01,0.01,0.01,0,0,0,0.09,0.09,0.12,0.14,0.14,0.14,1.515400145,0.7050616,0.7050616
"ST8SIA5",0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0.082867766,0.975413842,0.975413842
"SPON2",1.07,0.75,1.23,0.78,0.83,0.68,1.01,0.65,0.41,1.21,0.81,1,0.579949432,0.241619875,0.241619875
"TEX49",0.19,0.37,0.19,0,0,0,0,0,0,0.074275088,0.074275088,0.074275088,4.847548936,0.074275088,0.074275088
"SOX2-OT",0,0,0,0,0,0,0,0,0,0,0,0,2.406914015,0.515188932,0.515188932
"RNF139-DT-2",0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0,0,0,2.359085098,0.304876473,0.304876473
"TMEM145",0.18,0.18,0.31,0,0,0,0.26,0.12,0.12,0.04,0.04,0.04,2.20123149,0.356224366,0.356224366
"ITGA5",83.51,83.51,83.51,75.48,74.35,73.49,83.77,82.29,80.66,74.6,74.51,74.6,0.179687588,0.075955466,0.075955466
"COMMD1",27.99,27.99,29.18,28.5,28.92,28.5,28.71,26,20.38,25.15,25,24.75,0.086702199,0.624533288,0.624533288
"WDR27",1.11,1.11,1.1,1.21,1.21,1.25,1.66,1.66,1.66,1.22,1.22,1.16,0.143642418,0.704329078,0.704329078
"UQCRC2",14.87,14.82,14.87,19.32,19.46,19.01,19.76,20.14,20.61,18.03,15.36,16.55,-0.239124313,0.044340695,0.044340695
"PGRMC2",46.33,46.01,46.01,61.72,62.1,61.91,63.3,61.2,57.81,55.93,53.84,54.68,-0.348934573,2.88e-06,2.88e-06
"TRMT44",2.57,2.85,3.46,2.44,2.36,2.44,3.42,3.11,2.58,2.53,2.53,2.51,0.249565237,0.20568777,0.20568777
"ATAD3C",13.76,9.9,9.9,12.39,11.41,12.39,9.95,9.74,9.95,8.21,8.21,8.21,-0.127960762,0.922215742,0.922215742
"SLC37A4",12.84,12.39,12.84,9.67,10.05,10.05,8.68,8.27,8,9.04,7.57,8.22,0.414118769,0.011639054,0.011639054
"BEX5-2",0.05,0.09,0.05,0,0,0,0.05,0.05,0.05,0,0,0,1.13719805,0.780480655,0.780480655
"MAGEA3-2",16.35,17.43,17.02,16.07,16.14,16.07,16.01,15.77,15.77,18.93,19.53,18.93,0.174896013,0.10491455,0.10491455
"ZNF281",3.65,5.1,4.1,5.87,5.87,5.87,5.13,5.67,6.06,5.35,4.69,4.99,-0.401272246,0.003646629,0.003646629
"BRWD1",2.55,3.02,3.02,4.08,4.18,4.36,3.32,3.32,3.3,3.88,3.18,3.59,-0.344157108,0.250167787,0.250167787
"WNT5A",0.1,0.24,0.16,0.3,0.28,0.28,0.33,0.27,0.31,0.25,0.31,0.27,-0.523692964,0.353736149,0.353736149
"TAGLN2",987.74,987.74,1008.48,784.93,794.61,765.55,770.2,760.32,737.29,808.35,809.64,808.35,0.39286156,2.01e-06,2.01e-06
"HSPA1L-2",0.48,0.34,0.43,0,0,0,0,0,0,0.24,0.2,0.24,3.625097695,0.002424835,0.002424835
"ZNF699",1.16,1.33,1.33,2.33,2.24,2.5,2.64,2.85,3.05,2.19,2.1,2.1,-0.530435169,0.026248821,0.026248821
"LRATD2",1.97,1.97,1.97,2.32,1.93,2.57,2.63,2.45,2.27,2.29,2.08,2.16,-0.176366719,0.381259333,0.381259333
"IL1RAPL1",0.87,0.87,0.79,2.12,2.12,2.16,1.95,1.89,1.75,1.36,0.94,1.21,-0.901695484,0.000351209,0.000351209
"ATXN7L3",36.26,35.73,37.29,30.47,29.67,31.93,32.35,32.35,32.35,37.56,37.32,37.32,0.299540215,0.00017431,0.00017431
"ALOX5AP",0.16,0.16,0.16,0.8,0.68,0.61,0.24,0.24,0.24,0.46,0.46,0.46,-1.739919082,0.159402023,0.159402023
"MPZL1",28.83,29.26,28.99,36.63,35.01,37.76,36.83,35.72,34.85,33.88,33.7,33.88,-0.253837519,0.000119208,0.000119208
"ARL17B",0.29,0.29,0.29,1.42,1.28,1.7,1.01,1.01,1.73,0.43,0.25,0.43,-1.444946791,0.158700372,0.158700372
"PLA2G1B",0,0,0,0.18,0.18,0.18,0.09,0.09,0.09,0.09,0.09,0.09,-1.64507173,0.683954314,0.683954314
"CCDC88C-DT",0.18,0.18,0.18,0,0,0,0,0,0,0.17,0.17,0.17,2.709859684,0.496975013,0.496975013
"TPRG1L",23.4,22.47,20.41,18.69,19.21,18.31,18.26,17.73,17.13,20.31,21.6,21.08,0.320702887,0.001417871,0.001417871
"EXOSC3",26.52,27.17,26.23,31.4,31.4,31.4,29.53,29.93,30.79,28.27,28.37,28.07,-0.1098669,0.252048837,0.252048837
"ZNF287",0.16,0.16,0.17,0.23,0.3,0.15,0.44,0.32,0.13,0.14,0.16,0.13,-0.529677005,0.296136787,0.296136787
"ZMPSTE24",22.73,22.73,22.03,36.85,34.58,39.28,39.49,39.41,39.41,32.39,25.91,28.58,-0.51242245,1.13e-06,1.13e-06
"YTHDF1",35.73,36.32,34.76,38.41,37.76,38.13,41.55,41.55,41.55,41.32,41.26,41.36,-0.018588292,0.770280836,0.770280836
"SMDT1-4",9.02,6.69,7.86,6.09,6.09,6.09,3.51,4.89,6.34,6.44,7.4,6.93,0.365216532,0.155537631,0.155537631
"ZNF586",1.7,1.96,1.96,2.5,2.69,2.29,3.07,2.69,2.37,1.99,1.81,1.71,-0.099888084,0.739172857,0.739172857
"NPIPA2",0.14,0.33,0.14,0.09,0.08,0.07,0.01,0.01,0.01,0.11,0.05,0.05,0.465659651,0.752860151,0.752860151
"ZBTB17",13.19,13.19,13.19,9.69,9.76,9.76,11.09,11.09,11.09,10.59,11.25,10.99,0.468097579,4.36e-05,4.36e-05
"SOAT2",0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,3.165665886,0.4248969,0.4248969
"PSMD6",75.65,81.85,69.09,92.4,95.31,88.81,100.11,95.09,88.69,93.91,86.17,91.22,-0.201513535,0.012553224,0.012553224
"BCL2L14",0,0,0,0,0,0,0,0,0,0,0,0,1.13719805,0.780480655,0.780480655
"INPP4A",3.86,4.28,4.51,4.98,4.99,4.98,4.69,5.01,5.53,4.55,5.07,4.82,-0.237027922,0.062008256,0.062008256
"CTXND1",0.04,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,1.140198043,0.440384952,0.440384952
"TPD52L3",0,0,0,0,0,0,0,0,0,0,0,0,2.477173484,0.536103595,0.536103595
"TIGD1",0.28,0.28,0.27,0.46,0.42,0.52,0.36,0.36,0.37,0.22,0.54,0.39,-0.267466029,0.501153561,0.501153561
"ARL10",0.04,0.04,0.02,0.15,0.12,0.14,0.05,0.05,0.04,0.09,0.13,0.09,-1.050172726,0.138400991,0.138400991
"RASA3-IT1-2",0,0,0,0.04,0.04,0.06,0.01,0.01,0.01,0,0,0,-1.220100533,0.673898958,0.673898958
"ID4",0.1,0.08,0.1,0.11,0.11,0.07,0.09,0.13,0.16,0.15,0.15,0.16,0.018619399,0.982924147,0.982924147
"SNHG1",71.26,82.77,75.61,78,79.11,76.57,86.21,87.82,84.03,90.11,87.46,86.08,0.057998348,0.459536161,0.459536161
"GOLGA8A",0.21,0.21,0.21,0.37,0.37,0.4,0.43,0.43,0.4,0.24,0.22,0.24,0.32968884,0.77642081,0.77642081
"ELAPOR2",1.16,1.16,0.99,1.63,1.93,1.36,1.67,1.77,1.9,1.98,1.1,1.64,-0.392067771,0.186528689,0.186528689
"KNOP1",5.31,6.78,5.86,6.48,6.8,6.19,5.85,6.14,6.54,6.48,5.63,6.13,-0.030773455,0.77973698,0.77973698
"TPSG1",0,0,0,0.11,0.11,0.11,0.055,0.055,0.055,0.055,0.055,0.055,-2.720044822,0.493376155,0.493376155
"DZIP3",1.1,1.1,0.92,2.05,2.05,2.14,2.09,1.97,1.97,2.03,1.15,1.73,-0.490655492,0.140464352,0.140464352
"DEFB103A-2",0,0,0,0,0,0,0.255,0.255,0.255,0.255,0.255,0.255,-0.786355302,0.847184675,0.847184675
"OPRL1-2",0.22,0.14,0.14,0.09,0.09,0.09,0,0,0,0,0,0,0.260292494,0.88327571,0.88327571
"TMEM123",64.35,64.35,63.59,103.05,98.8,106.84,94.09,94.52,94.52,87.77,66.13,77,-0.459939827,2.16e-06,2.16e-06
"RHBDL2",3.16,3.07,3.16,3.33,3.09,3.33,4.07,4.3,4.4,4.82,3.6,4.03,-0.176181696,0.53238313,0.53238313
"XBP1",58.14,56.9,58.14,58.15,59.89,55.16,52.76,53.05,53.05,59.48,62.74,61.4,0.129124118,0.171426005,0.171426005
"VAX2",0.94,1.12,1.01,0.95,1.16,0.59,0.94,1.17,1.55,0.85,0.9,0.9,-0.371245545,0.350009776,0.350009776
"ANXA10",1.16,0.65,0.9,1.27,0.59,1.7,1.58,1.58,1.21,2.25,2.37,2.37,-0.346555653,0.638852941,0.638852941
"MFSD9",1.93,1.85,2.05,1.78,1.82,1.86,2.03,2,1.95,1.71,1.81,1.81,0.109019021,0.530363637,0.530363637
"TREX2",0.37,1.24,0.68,0.73,0.73,0.73,0.66,0.66,1.11,0.49,0.23,0.35,0.34964845,0.654754638,0.654754638
"CRLS1",27.26,25.8,25.8,22.28,23.62,19.84,20.25,20.32,20.32,18.68,18.87,18.87,0.17078028,0.130802876,0.130802876
"IKZF5",2.82,2.89,2.89,4.15,4.24,4.06,3.93,3.93,3.84,3.87,3.83,3.83,-0.306936563,0.047778505,0.047778505
"INKA2",0.9,1.07,0.97,0.84,0.82,0.84,1.02,1.14,0.94,1.26,1.26,1.3,0.236269129,0.288110912,0.288110912
"ZRANB2-DT",0.1,0.1,0.1,0,0,0,0.19,0.19,0.19,0,0,0,3.136620854,0.426683005,0.426683005
"INTS8",4,4.36,4.36,5.26,4.85,4.99,5.39,5.83,6.62,4.9,3.8,4.18,-0.02349584,0.878732463,0.878732463
"ARRDC2",12.52,12.52,12.52,9.32,9.47,9.38,10.18,9.69,9.43,9.29,9.46,9.29,0.478278026,5.06e-05,5.06e-05
"IGSF3",3.78,3.78,3.78,4.43,4.39,4.43,4.26,4.22,4.26,4.51,4.54,4.49,-0.189297011,0.067072455,0.067072455
"NHERF2",225.12,197.78,213.74,162.32,162.32,162.23,176.66,177.84,175.81,164.52,190.67,180.4,0.46493829,8.38e-07,8.38e-07
"MTARC1",1.74,1.66,1.88,3.19,2.8,2.46,1.83,1.83,1.83,1.45,1.48,1.48,-0.181438975,0.341510281,0.341510281
"ACSM6",0,0,0,0,0,0,0,0,0,0,0,0,1.13719805,0.780480655,0.780480655
"GOLGA8B",1.46,1.46,1.34,3.04,3.05,3.05,3.31,3.28,3.3,2.55,1.73,2.13,-0.176224889,0.661756475,0.661756475
"STARD3NL",29.51,36.05,32.95,33.55,32.94,33.84,32.98,32.98,32.64,34.37,34.47,34.47,0.057210861,0.541543236,0.541543236
"RAG1",0.03,0.04,0.03,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,-0.700824989,0.643180043,0.643180043
