KO_ID,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
ko00061,Fatty acid biosynthesis,0.435803047,1.195414066,0.228714524,0.501986006,1,4月24日,5.44%,ACACA-2;OLAH;CBR4;NDUFAB1
ko04215,Apoptosis - multiple species,0.415198015,1.187436062,0.209836066,0.51158893,1,13/31,17.06%,DIABLO;BIRC2;CASP3;FADD;CYCS;BBC3;BIRC5;BAK1;BCL2L1;PMAIP1;HTRA2;MAPK8;NGFR
ko04024,cAMP signaling pathway,0.310775788,1.186910212,0.134529148,0.501522718,1,19/159,8.93%,HHIP;RAC2;GABBR2;SOX9;NFKBIA;CREB3L2;ATP2B1;ATP2B4;RAP1B;SSTR1;CHRM2;CAMK4;EDNRA;AFDN;VAV2;PAK1;GNAI3;CALM1;PPP1CA
ko04710,Circadian rhythm,0.416935172,1.180596619,0.249221184,0.506164681,1,14/28,32.61%,NR1D1;BHLHE41;CLOCK;CSNK1E;FBXL3;CUL1;PRKAB2;RBX1;PER2;PRKAA2;NPAS2;CRY2;BMAL1;BHLHE40
ko04020,Calcium signaling pathway,-0.297644063,-1.17994351,0.142372881,0.461354208,1,26/172,8.41%,HRH1;PDGFRB;ERBB2;ADCY9;FGFR4;MYLK;FGF9;P2RX4;P2RX7;DRD1;VEGFA;PLCG1;ITPR1;CACNA1A;ADRA1B;BDKRB2;PDGFD;ADORA2B;HGF;FGF1;STIM1;EDNRB;OXTR;ADCY3;TACR1;FGFR1
ko04623,Cytosolic DNA-sensing pathway,0.370098051,1.179694748,0.218152866,0.497433699,1,8/47,7.38%,STING1-2;RIPK1;NFKBIA;POLR3B;POLR3G;POLR1D;IRF3;POLR3K
ko00020,Citrate cycle (TCA cycle),0.406571959,1.171416041,0.258970359,0.509335989,1,11月29日,19.56%,PCK2;IDH3A;PDHX;PCK2-2;FH;PDHA1;SDHD;DLST;SDHA;IDH3B;DLAT
ko04341,Hedgehog signaling pathway - fly,-0.387101274,-1.167430438,0.239892183,0.476107283,1,3月30日,2.27%,BMP4;GRK5;PTCH1
ko04062,Chemokine signaling pathway,-0.301279213,-1.166355016,0.165605096,0.468612988,1,28/139,13.01%,CCL2;STAT3;STAT2;ADCY9;GRK5;STAT1;ARRB1;PLCG1;PIK3CD;CCL5-2;CXCR6;SHC3;STAT5B;CXCL16;CRK;ADCY3;CXCR5;GNB5;CRKL;GNB3;GRB2;CCR7;JAK3;NFKB1;TIAM1;AKT3-2;GNG4;GRK2
ko04964,Proximal tubule bicarbonate reclamation,0.438865855,1.164040112,0.266339869,0.517690101,1,5月20日,12.81%,PCK2;SLC9A3;AQP1;PCK2-2;ATP1B1
ko04270,Vascular smooth muscle contraction,-0.321232308,-1.163098721,0.208092486,0.466407431,1,28/95,17.86%,ACTA2;ADM;ACTG2;IRAG1;ADCY9;MYLK;ARHGEF11;ITPR1;ADRA1B;ADORA2B;NPR2;CALCRL;ADCY3;MYH9;PRKCQ;CACNA1C;KCNU1;PRKCA;MYLK3;PRKCE;PPP1R12B;RAF1;C12orf60;PPP1R14A;MYL9;CALD1;ADCY6;RAMP1
ko04012,ErbB signaling pathway,0.335045733,1.161526387,0.199697428,0.51354095,1,24/81,23.34%,AREG;HBEGF;ABL2;EIF4EBP1;EREG;EGFR;ARAF;PAK1;SOS2;NRAS;CRK-2;RPS6KB2;ELK1;CBLB;CAMK2B;PIK3CB;MAPK8;HRAS;BRAF;HRAS-2;MAP2K1;PIK3R3;SHC4;AKT2
ko04350,TGF-beta signaling pathway,-0.319652962,-1.16066167,0.205787781,0.462976797,1,17/87,6.15%,BMP4;THBS1;GDF5;THSD4;TGFB2;NEO1;GDF6;FST;CREBBP;SMAD3;BAMBI;DCN;MYC;CDKN2B;BMPR1B;BMP2;SMAD6
ko04622,RIG-I-like receptor signaling pathway,0.356719023,1.158698804,0.234449761,0.510565007,1,13/56,17.98%,STING1-2;RIPK1;NFKBIA;MAPK13;TRAF6;FADD;IRF3;DDX3X;TRAF2;PIN1;RIGI;MAPK8;RNF125
ko01040,Biosynthesis of unsaturated fatty acids,-0.397018505,-1.157431164,0.269021739,0.46077004,1,5月25日,10.35%,FADS2;ELOVL3;SCD;ELOVL2;FADS1
