GeneID,logFC,Pvalue,FDR,Up/Down-Regulation,Gene_name
BRIP1,0.472523383,0.013216652,0.013216652,*,BRIP1
BRIX1,-0.179581588,0.276152499,0.276152499,*,BRIX1
BRK1,0.056758472,0.333797509,0.333797509,*,BRK1
BRME1,-0.086593462,0.959498547,0.959498547,*,BRME1
BRME1-2,-0.086593462,0.959498547,0.959498547,*,BRME1
BRMS1,0.146711926,0.091776532,0.091776532,*,BRMS1
BRMS1L,0.403897658,0.130792561,0.130792561,*,BRMS1L
BROX,0.05947524,0.554254242,0.554254242,*,BROX
BRPF1,-0.113452603,0.376458419,0.376458419,*,BRPF1
BRPF3,-0.072196665,0.371386703,0.371386703,*,BRPF3
BRPF3-AS1,2.344809977,0.231261506,0.231261506,*,BRPF3-AS1
BRSK1,-0.253284117,0.222690935,0.222690935,*,BRSK1
BRSK2,-0.275113425,0.786583639,0.786583639,*,BRSK2
BRSK2-2,-0.189013627,0.891892949,0.891892949,*,BRSK2
BRWD1,0.217393155,0.13195294,0.13195294,*,BRWD1
BRWD1-AS2,-2.219036956,0.33586676,0.33586676,*,BRWD1-AS2
BRWD3,-0.042754466,0.879397286,0.879397286,*,BRWD3
BSCL2,-0.033520468,0.828732177,0.828732177,*,BSCL2
BSDC1,-0.180961062,0.014711953,0.014711953,*,BSDC1
BSG,-0.022716926,0.707063573,0.707063573,*,BSG
BSG-AS1,0.340103974,0.8342064,0.8342064,*,BSG-AS1
BSN,-0.522293413,0.61229036,0.61229036,*,BSN
BST1,-0.237443431,0.065571446,0.065571446,*,BST1
BST2,-1.062664917,0.568774378,0.568774378,*,BST2
BTAF1,0.179979905,0.288248209,0.288248209,*,BTAF1
BTBD1,0.12878427,0.141227838,0.141227838,*,BTBD1
BTBD10,0.220514659,0.045581434,0.045581434,*,BTBD10
BTBD18,0.918290647,0.821944146,0.821944146,*,BTBD18
BTBD19,-0.249465603,0.433281495,0.433281495,*,BTBD19
BTBD2,-0.047604876,0.53604141,0.53604141,*,BTBD2
BTBD3,-0.210002164,0.035744359,0.035744359,*,BTBD3
BTBD6,-0.045421656,0.579318636,0.579318636,*,BTBD6
BTBD7,0.020884407,0.878856587,0.878856587,*,BTBD7
BTBD7-2,0.073206059,0.582017971,0.582017971,*,BTBD7
BTBD8,-0.542073014,0.074672494,0.074672494,*,BTBD8
BTBD9,-0.026672388,0.830797527,0.830797527,*,BTBD9
BTC,-1.449723808,0.691447471,0.691447471,*,BTC
BTD,-0.005206093,0.963125136,0.963125136,*,BTD
BTF3,0.107309996,0.034199038,0.034199038,*,BTF3
BTF3L4,-0.029084793,0.777189738,0.777189738,*,BTF3L4
BTG1,0.333278718,2.46E-05,2.46E-05,*,BTG1
BTG1-DT,1.75409309,0.664418947,0.664418947,*,BTG1-DT
BTG2,0.035285125,0.814896083,0.814896083,*,BTG2
BTG3,0.156518868,0.22345754,0.22345754,*,BTG3
BTG3-2,2.037326618,0.26444377,0.26444377,*,BTG3
BTG3-AS1,-0.718826465,0.564003908,0.564003908,*,BTG3-AS1
BTG3-AS1-2,-0.718826465,0.564003908,0.564003908,*,BTG3-AS1
BTG4,-0.5246435,0.80657003,0.80657003,*,BTG4
BTN1A1,0.918290647,0.821944146,0.821944146,*,BTN1A1
BTN1A1-2,0.918290647,0.821944146,0.821944146,*,BTN1A1
BTN2A1,0.139628521,0.287172976,0.287172976,*,BTN2A1
BTN2A1-2,0.023983632,0.852074947,0.852074947,*,BTN2A1
BTN2A2,-0.132094454,0.320049967,0.320049967,*,BTN2A2
BTN3A1,-0.118825238,0.306374863,0.306374863,*,BTN3A1
BTN3A2,0.017357948,0.861397917,0.861397917,*,BTN3A2
BTN3A3,0.011626064,0.925428009,0.925428009,*,BTN3A3
BTRC,0.038879794,0.738840108,0.738840108,*,BTRC
BUB1,0.570283141,2.42E-09,2.42E-09,*,BUB1
BUB1B,0.35783705,0.003474423,0.003474423,*,BUB1B
BUB1B-PAK6,0.918290647,0.821944146,0.821944146,*,BUB1B-PAK6
BUB3,0.140976602,0.017448462,0.017448462,*,BUB3
BUD13,0.132090803,0.412279321,0.412279321,*,BUD13
BUD23,0.092834176,0.27590436,0.27590436,*,BUD23
BUD31,0.006503256,0.929710635,0.929710635,*,BUD31
BVES,-0.050321018,0.681541142,0.681541142,*,BVES
BVES-AS1,-1.579386814,0.406562645,0.406562645,*,BVES-AS1
BYSL,-0.224017405,0.034129748,0.034129748,*,BYSL
BZW1,0.209573999,0.000175683,0.000175683,*,BZW1
BZW1-AS1,2.872576174,0.416649389,0.416649389,*,BZW1-AS1
BZW2,0.000899693,0.9918118,0.9918118,*,BZW2
C10orf105,1.7826395,0.659091782,0.659091782,*,C10orf105
C10orf143,0.600326509,0.378939207,0.378939207,*,C10orf143
C10orf55,0.541414275,0.269873288,0.269873288,*,C10orf55
C10orf67,-0.509201752,0.72440371,0.72440371,*,C10orf67
C10orf67-AS1,0.10019043,0.945194569,0.945194569,*,C10orf67-AS1
C10orf82,2.182294935,0.405956669,0.405956669,*,C10orf82
C10orf82-2,2.182294935,0.405956669,0.405956669,*,C10orf82
C10orf88,-0.054584491,0.72487815,0.72487815,*,C10orf88
C10orf90,0.072588824,0.958772,0.958772,*,C10orf90
C10orf95,3.432481523,0.256498141,0.256498141,*,C10orf95
C10orf95-AS1,0.325727058,0.645982993,0.645982993,*,C10orf95-AS1
C11orf16,1.908518473,0.529780041,0.529780041,*,C11orf16
C11orf21,0.918290647,0.821944146,0.821944146,*,C11orf21
C11orf24,0.002006502,0.978350688,0.978350688,*,C11orf24
C11orf52,0.245516805,0.774133657,0.774133657,*,C11orf52
C11orf54,0.000767538,0.996906318,0.996906318,*,C11orf54
C11orf58,0.036201544,0.626475752,0.626475752,*,C11orf58
C11orf65,-0.860391655,0.514112113,0.514112113,*,C11orf65
C11orf68,0.193067603,0.075415698,0.075415698,*,C11orf68
C11orf71,0.165568834,0.739223847,0.739223847,*,C11orf71
C11orf80,0.105414271,0.568357076,0.568357076,*,C11orf80
C11orf87,-1.336330479,0.035848241,0.035848241,Down,C11orf87
C11orf91,0.229475333,0.84407404,0.84407404,*,C11orf91
C11orf96,-1.180554041,0.513321843,0.513321843,*,C11orf96
C11orf98,0.052864395,0.613421641,0.613421641,*,C11orf98
C12orf4,0.063568055,0.717416755,0.717416755,*,C12orf4
C12orf43,-0.045460719,0.722035179,0.722035179,*,C12orf43
C12orf50,1.052376769,0.436419205,0.436419205,*,C12orf50
C12orf56,-1.005262704,0.805404059,0.805404059,*,C12orf56
C12orf57,0.113605082,0.270459277,0.270459277,*,C12orf57
C12orf60,-0.695530563,0.56193119,0.56193119,*,C12orf60
C12orf71,-1.005262704,0.805404059,0.805404059,*,C12orf71
C12orf75,0.023517102,0.631056086,0.631056086,*,C12orf75
C12orf75-AS1,-1.034452093,0.792984842,0.792984842,*,C12orf75-AS1
C12orf76,-0.223911851,0.674730871,0.674730871,*,C12orf76
C13orf46,-0.394479457,0.000523965,0.000523965,*,C13orf46
C13orf46-2,-0.515022584,0.80393511,0.80393511,*,C13orf46
C14orf119,0.078758119,0.350040998,0.350040998,*,C14orf119
C14orf132,0.041193247,0.692812797,0.692812797,*,C14orf132
C14orf178,-1.865812936,0.462569336,0.462569336,*,C14orf178
C14orf28,0.32927454,0.241131453,0.241131453,*,C14orf28
C14orf93,-0.17224272,0.530271353,0.530271353,*,C14orf93
C15orf39,0.057059638,0.705797328,0.705797328,*,C15orf39
C15orf40,-0.194372036,0.211711707,0.211711707,*,C15orf40
C15orf48,-0.458014657,0.682394886,0.682394886,*,C15orf48
C15orf61,-0.095918106,0.803092519,0.803092519,*,C15orf61
C15orf62,-0.197240667,0.81426817,0.81426817,*,C15orf62
C16orf46,-0.182316581,0.89439011,0.89439011,*,C16orf46
C16orf46-2,-0.182316581,0.89439011,0.89439011,*,C16orf46
C16orf54,-1.005262704,0.805404059,0.805404059,*,C16orf54
C16orf74,0.5809274,0.011749692,0.011749692,*,C16orf74
C16orf86,-0.945081027,0.244177123,0.244177123,*,C16orf86
C16orf87,-0.057350278,0.737422101,0.737422101,*,C16orf87
C16orf89,-1.372455165,0.325371005,0.325371005,*,C16orf89
C16orf95,-0.185602531,0.637813275,0.637813275,*,C16orf95
C16orf95-DT,-0.373515611,0.813285829,0.813285829,*,C16orf95-DT
C16orf96,1.7826395,0.659091782,0.659091782,*,C16orf96
C17orf100,0.726122617,0.228142538,0.228142538,*,C17orf100
C17orf107,0.158051794,0.832887756,0.832887756,*,C17orf107
C17orf113,2.688244326,0.153806631,0.153806631,*,C17orf113
C17orf114,2.111352113,0.509616813,0.509616813,*,C17orf114
C17orf49,0.167014638,0.222359065,0.222359065,*,C17orf49
C17orf58,-0.084961147,0.761687784,0.761687784,*,C17orf58
C17orf67,-0.147792413,0.54111477,0.54111477,*,C17orf67
C17orf75,-0.143887761,0.430142436,0.430142436,*,C17orf75
C17orf78,0.918290647,0.821944146,0.821944146,*,C17orf78
C17orf78-2,0.918290647,0.821944146,0.821944146,*,C17orf78
C17orf80,-0.15739569,0.279254539,0.279254539,*,C17orf80
C18orf21,0.136582771,0.558732381,0.558732381,*,C18orf21
C18orf32,0.082463707,0.666517164,0.666517164,*,C18orf32
C18orf54,0.375108461,0.122695542,0.122695542,*,C18orf54
C19orf12,-0.153444822,0.112438303,0.112438303,*,C19orf12
C19orf18,-0.843175869,0.638592007,0.638592007,*,C19orf18
C19orf25,0.10960819,0.409561296,0.409561296,*,C19orf25
C19orf33,-0.095055494,0.950271446,0.950271446,*,C19orf33
C19orf38,0.535161455,0.854167896,0.854167896,*,C19orf38
C19orf44,-0.312436918,0.332811491,0.332811491,*,C19orf44
C19orf47,0.107021401,0.453053769,0.453053769,*,C19orf47
C19orf53,0.026064454,0.76284135,0.76284135,*,C19orf53
C19orf73,-0.011679773,0.994705829,0.994705829,*,C19orf73
C19orf81,-0.193432366,0.897167153,0.897167153,*,C19orf81
C1D,0.215775986,0.163542319,0.163542319,*,C1D
C1GALT1,0.401400925,0.006130286,0.006130286,*,C1GALT1
C1GALT1C1,-0.147523067,0.487253141,0.487253141,*,C1GALT1C1
C1GALT1C1-2,-0.147523067,0.487253141,0.487253141,*,C1GALT1C1
C1GALT1C1L,1.951672334,0.257608091,0.257608091,*,C1GALT1C1L
C1orf109,-0.176429192,0.229649652,0.229649652,*,C1orf109
C1orf115,-0.369761459,0.664954212,0.664954212,*,C1orf115
C1orf116,-3.684197981,0.200971518,0.200971518,*,C1orf116
C1orf122,0.10405011,0.336172259,0.336172259,*,C1orf122
C1orf131,-0.039804886,0.87407663,0.87407663,*,C1orf131
C1orf159,0.189759504,0.381578334,0.381578334,*,C1orf159
C1orf162,-1.005262704,0.805404059,0.805404059,*,C1orf162
C1orf167,0.679645223,0.657148144,0.657148144,*,C1orf167
C1orf174,0.044324528,0.804700604,0.804700604,*,C1orf174
C1orf198,-0.618494096,3.91E-20,3.91E-20,*,C1orf198
C1orf202,0.918290647,0.821944146,0.821944146,*,C1orf202
C1orf21,-0.009521728,0.927109417,0.927109417,*,C1orf21
C1orf216,0.00724693,0.948887474,0.948887474,*,C1orf216
C1orf21-DT,-0.043482025,0.991497804,0.991497804,*,C1orf21-DT
C1orf220,0.102368114,0.923368102,0.923368102,*,C1orf220
C1orf226,-0.518525898,0.447507582,0.447507582,*,C1orf226
C1orf35,0.069093508,0.6768775,0.6768775,*,C1orf35
C1orf43,-0.024235491,0.681824068,0.681824068,*,C1orf43
C1orf50,-0.054789989,0.774588409,0.774588409,*,C1orf50
C1orf52,-0.215400583,0.146972302,0.146972302,*,C1orf52
C1orf53,0.177146087,0.67988036,0.67988036,*,C1orf53
C1orf54,-0.12677311,0.480954841,0.480954841,*,C1orf54
C1orf56,-0.161225887,0.615359354,0.615359354,*,C1orf56
C1orf74,0.089146905,0.784623954,0.784623954,*,C1orf74
C1QBP,0.041896355,0.502531812,0.502531812,*,C1QBP
C1QC,-1.828313995,0.651239241,0.651239241,*,C1QC
C1QL1,0.031952688,0.950075513,0.950075513,*,C1QL1
C1QL3,-1.404088636,0.397421368,0.397421368,*,C1QL3
C1QL4,0.23716392,0.852987354,0.852987354,*,C1QL4
C1QTNF1,-0.335379609,0.001556779,0.001556779,*,C1QTNF1
C1QTNF12,0.544303962,0.680464632,0.680464632,*,C1QTNF12
C1QTNF1-AS1,-1.329013224,0.540599757,0.540599757,*,C1QTNF1-AS1
C1QTNF2,-0.088663721,0.664280541,0.664280541,*,C1QTNF2
C1QTNF3,1.870308226,0.081928193,0.081928193,*,C1QTNF3
C1QTNF3-AMACR,0.439567892,0.907162241,0.907162241,*,C1QTNF3-AMACR
C1QTNF5,-0.02022776,0.879359594,0.879359594,*,C1QTNF5
C1QTNF6,0.095890105,0.606186369,0.606186369,*,C1QTNF6
C1QTNF7,-0.91839564,0.265183071,0.265183071,*,C1QTNF7
C1QTNF9,1.405081449,0.699395655,0.699395655,*,C1QTNF9
C1QTNF9B,-0.198357287,0.810969281,0.810969281,*,C1QTNF9B
C1R,-0.535779999,4.01E-15,4.01E-15,*,C1R
C1R-2,-0.535779999,4.01E-15,4.01E-15,*,C1R
C1RL,-0.722013366,3.91E-05,3.91E-05,*,C1RL
C1RL-2,-0.722013366,3.91E-05,3.91E-05,*,C1RL
C1RL-AS1,-0.383668589,0.58407184,0.58407184,*,C1RL-AS1
C1RL-AS1-2,-0.383668589,0.58407184,0.58407184,*,C1RL-AS1
C1S,-0.403608147,3.07E-14,3.07E-14,*,C1S
C2,-0.043482025,0.991497804,0.991497804,*,C2
C20orf141,0.918290647,0.821944146,0.821944146,*,C20orf141
C20orf202,-1.005262704,0.805404059,0.805404059,*,C20orf202
C20orf204,0.058975609,0.983202286,0.983202286,*,C20orf204
C20orf96,-0.051914576,0.848910103,0.848910103,*,C20orf96
C21orf140,-2.915185191,0.407394152,0.407394152,*,C21orf140
C21orf58,-0.004038116,0.9829395,0.9829395,*,C21orf58
C21orf62-AS1,-1.828313995,0.651239241,0.651239241,*,C21orf62-AS1
C21orf62-AS1-2,-1.828313995,0.651239241,0.651239241,*,C21orf62-AS1
C21orf91,0.249392042,0.341744705,0.341744705,*,C21orf91
C2-2,-0.043482025,0.991497804,0.991497804,*,C2
C22orf15,0.81901127,0.564515889,0.564515889,*,C22orf15
C22orf15-2,0.820866495,0.839019362,0.839019362,*,C22orf15
C22orf23,-0.096218972,0.509358615,0.509358615,*,C22orf23
C22orf39,-0.140439098,0.430026299,0.430026299,*,C22orf39
C2-3,-0.043482025,0.991497804,0.991497804,*,C2
C2-4,-1.005262704,0.805404059,0.805404059,*,C2
C2-5,-0.043482025,0.991497804,0.991497804,*,C2
C2-6,-0.043482025,0.991497804,0.991497804,*,C2
C2-7,1.789948264,0.59910883,0.59910883,*,C2
C2CD2,0.033583733,0.738159756,0.738159756,*,C2CD2
C2CD2L,-0.124670763,0.453566182,0.453566182,*,C2CD2L
C2CD3,-0.169925535,0.143078015,0.143078015,*,C2CD3
C2CD4C,-3.239826098,0.270225774,0.270225774,*,C2CD4C
C2CD4D-AS1,-0.569597571,0.64844104,0.64844104,*,C2CD4D-AS1
C2CD5,0.142732685,0.441697795,0.441697795,*,C2CD5
C2CD6,0.290195862,0.740147561,0.740147561,*,C2CD6
C2orf15,-0.917792834,0.82027967,0.82027967,*,C2orf15
C2orf16,0.033450048,0.934359926,0.934359926,*,C2orf16
C2orf27A,0.150559584,0.32660679,0.32660679,*,C2orf27A
C2orf42,-0.184021881,0.442947414,0.442947414,*,C2orf42
C2orf49,-0.321736389,0.051811757,0.051811757,*,C2orf49
C2orf50,0.702478802,0.831924659,0.831924659,*,C2orf50
C2orf66,-0.244367894,0.898625905,0.898625905,*,C2orf66
C2orf68,-0.077754602,0.672188326,0.672188326,*,C2orf68
C2orf69,0.462174143,0.014527816,0.014527816,*,C2orf69
C2orf72,3.102100291,0.400774642,0.400774642,*,C2orf72
C2orf73,-1.916979622,0.567884941,0.567884941,*,C2orf73
C2orf74,0.213966026,0.494495744,0.494495744,*,C2orf74
C2orf74-AS1,0.918290647,0.821944146,0.821944146,*,C2orf74-AS1
C2orf74-DT,-0.107729595,0.588939245,0.588939245,*,C2orf74-DT
C2orf76,0.180309162,0.55467943,0.55467943,*,C2orf76
C2orf78,-0.866532983,0.830355314,0.830355314,*,C2orf78
C2orf78-2,-0.866532983,0.830355314,0.830355314,*,C2orf78
C2orf81,-1.021057788,0.167963876,0.167963876,*,C2orf81
C2orf88,1.320585831,0.176696176,0.176696176,*,C2orf88
C2orf92,0.684188962,0.46932468,0.46932468,*,C2orf92
C2orf92-2,-0.816661992,0.594895144,0.594895144,*,C2orf92
C3,4.363199779,0.075412854,0.075412854,*,C3
C3AR1,-0.3690418,0.794692674,0.794692674,*,C3AR1
C3orf14,0.085110192,0.68476939,0.68476939,*,C3orf14
C3orf18,-0.162356568,0.361702801,0.361702801,*,C3orf18
C3orf33,0.315355373,0.363994811,0.363994811,*,C3orf33
C3orf36,1.386919834,0.679326768,0.679326768,*,C3orf36
C3orf38,0.167917588,0.271248873,0.271248873,*,C3orf38
C3orf52,0.261320216,0.185314187,0.185314187,*,C3orf52
C3orf52-2,-0.881802426,0.789551601,0.789551601,*,C3orf52
C3orf62,0.202120116,0.666567209,0.666567209,*,C3orf62
C3orf70,0.012945325,0.961802269,0.961802269,*,C3orf70
C3orf80,0.918290647,0.821944146,0.821944146,*,C3orf80
C4A-2,0.66482773,0.859757969,0.859757969,*,C4A
C4B_2,-4.024236289,0.12675321,0.12675321,*,C4B_2
C4B-4,-3.199819017,0.379077779,0.379077779,*,C4B
C4orf19,-1.996874091,0.620212066,0.620212066,*,C4orf19
C4orf3,-0.051727686,0.525242504,0.525242504,*,C4orf3
C4orf33,-0.327580761,0.537134139,0.537134139,*,C4orf33
C4orf36,-0.364795613,0.324966444,0.324966444,*,C4orf36
C4orf46,0.40691137,0.006757577,0.006757577,*,C4orf46
C4orf47,-0.047339887,0.981319255,0.981319255,*,C4orf47
C4orf48,-0.137987507,0.480046022,0.480046022,*,C4orf48
C5,-0.060069419,0.898673514,0.898673514,*,C5
C5AR1,0.382975786,0.687308603,0.687308603,*,C5AR1
C5AR2,0.778743352,0.521019967,0.521019967,*,C5AR2
C5orf15,0.006057881,0.942541366,0.942541366,*,C5orf15
C5orf22,-0.034561248,0.802497676,0.802497676,*,C5orf22
C5orf24,0.226174664,0.039073626,0.039073626,*,C5orf24
C5orf34,0.153084071,0.682053114,0.682053114,*,C5orf34
C5orf46,1.906993865,0.636057473,0.636057473,*,C5orf46
C5orf58,-0.043482025,0.991497804,0.991497804,*,C5orf58
C5orf63,-1.10203527,0.213502686,0.213502686,*,C5orf63
C6,-2.384600926,0.078252746,0.078252746,*,C6
C6orf120,0.210276995,0.056571087,0.056571087,*,C6orf120
C6orf132,-0.413751715,0.000174051,0.000174051,*,C6orf132
C6orf136,-0.324871073,0.574291887,0.574291887,*,C6orf136
C6orf136-2,-0.324871073,0.574291887,0.574291887,*,C6orf136
C6orf136-3,-0.324871073,0.574291887,0.574291887,*,C6orf136
C6orf136-4,-0.242257508,0.688232664,0.688232664,*,C6orf136
C6orf136-5,-0.324871073,0.574291887,0.574291887,*,C6orf136
C6orf136-6,-0.324871073,0.574291887,0.574291887,*,C6orf136
C6orf136-7,-0.324871073,0.574291887,0.574291887,*,C6orf136
C6orf147,0.372817358,0.558790372,0.558790372,*,C6orf147
C6orf163,-0.081462341,0.979240647,0.979240647,*,C6orf163
C6orf226,0.467774033,0.202103727,0.202103727,*,C6orf226
C6orf47-2,0.361574328,0.117307747,0.117307747,*,C6orf47
C6orf47-3,0.234107187,0.2058978,0.2058978,*,C6orf47
C6orf47-4,-3.144609655,0.3945812,0.3945812,*,C6orf47
C6orf47-5,-2.664336648,0.174273741,0.174273741,*,C6orf47
C6orf47-6,-2.664336648,0.174273741,0.174273741,*,C6orf47
C6orf47-7,-2.664336648,0.174273741,0.174273741,*,C6orf47
C6orf52,0.331104912,0.839482697,0.839482697,*,C6orf52
C6orf52-2,0.331104912,0.839482697,0.839482697,*,C6orf52
C6orf58,2.366096007,0.553839929,0.553839929,*,C6orf58
C6orf62,0.021051844,0.801513914,0.801513914,*,C6orf62
C6orf89,-0.047412691,0.495734122,0.495734122,*,C6orf89
C7,-0.17258778,0.446489878,0.446489878,*,C7
C7orf25,-0.056161609,0.768490662,0.768490662,*,C7orf25
C7orf31,-0.703988237,0.052967739,0.052967739,*,C7orf31
C7orf50,0.083168063,0.374737887,0.374737887,*,C7orf50
C7orf57,0.820866495,0.839019362,0.839019362,*,C7orf57
C8A,-1.005262704,0.805404059,0.805404059,*,C8A
C8B,-1.005262704,0.805404059,0.805404059,*,C8B
C8G,1.015618816,0.719096088,0.719096088,*,C8G
C8orf33,0.110602547,0.31257577,0.31257577,*,C8orf33
C8orf33-2,0.110602547,0.31257577,0.31257577,*,C8orf33
C8orf34,-0.629960493,0.690503656,0.690503656,*,C8orf34
C8orf44,-0.288738366,0.627102382,0.627102382,*,C8orf44
C8orf44-SGK3,1.721362357,0.616365048,0.616365048,*,C8orf44-SGK3
C8orf48,0.023667596,0.962177214,0.962177214,*,C8orf48
C8orf58,-0.064011904,0.648695157,0.648695157,*,C8orf58
C8orf76,-0.100739296,0.528012632,0.528012632,*,C8orf76
C8orf82,-0.190768254,0.268016781,0.268016781,*,C8orf82
C8orf88,-0.294834489,0.243826549,0.243826549,*,C8orf88
C9orf152,0.058975609,0.983202286,0.983202286,*,C9orf152
C9orf153,-1.005262704,0.805404059,0.805404059,*,C9orf153
C9orf163,-0.151894167,0.909776865,0.909776865,*,C9orf163
C9orf40,0.240940004,0.24261045,0.24261045,*,C9orf40
C9orf43,1.123207163,0.314453819,0.314453819,*,C9orf43
C9orf50,0.47817446,0.782752081,0.782752081,*,C9orf50
C9orf72,-0.326347376,0.435335716,0.435335716,*,C9orf72
C9orf78,0.058198034,0.583572004,0.583572004,*,C9orf78
C9orf85,0.087212158,0.706354949,0.706354949,*,C9orf85
CA11,0.394280773,0.587318624,0.587318624,*,CA11
CA12,-0.004754749,0.965871503,0.965871503,*,CA12
CA13,0.444711636,0.475715598,0.475715598,*,CA13
CA14,-1.005262704,0.805404059,0.805404059,*,CA14
CA4,-0.913688512,0.310999541,0.310999541,*,CA4
CA5B,1.897233758,0.56406509,0.56406509,*,CA5B
CA5BP1-CA5B,-0.001136097,0.993055751,0.993055751,*,CA5BP1-CA5B
CA9,-0.251313747,0.894375019,0.894375019,*,CA9
CAAP1,0.096354324,0.525761172,0.525761172,*,CAAP1
CAB39,0.239641778,0.015349955,0.015349955,*,CAB39
CAB39L,-0.237823653,0.128012975,0.128012975,*,CAB39L
CABCOCO1,0.095815247,0.926106897,0.926106897,*,CABCOCO1
CABIN1,-0.015222941,0.848686487,0.848686487,*,CABIN1
CABIN1-2,-1.005262704,0.805404059,0.805404059,*,CABIN1
CABLES1,-0.213815856,0.031790095,0.031790095,*,CABLES1
CABLES2,-0.072304395,0.612382815,0.612382815,*,CABLES2
CABP1,-0.617290256,0.825186362,0.825186362,*,CABP1
CABP4,0.808019307,0.827412772,0.827412772,*,CABP4
CABP7,0.761408372,0.726644975,0.726644975,*,CABP7
CABYR,-0.109281938,0.602838721,0.602838721,*,CABYR
CACFD1,0.066215516,0.789411264,0.789411264,*,CACFD1
CACFD1-2,0.089130436,0.720033814,0.720033814,*,CACFD1
CACHD1,-0.271217314,0.096310662,0.096310662,*,CACHD1
CACNA1A,-0.331138875,0.036066843,0.036066843,*,CACNA1A
CACNA1B,0.918290647,0.821944146,0.821944146,*,CACNA1B
CACNA1C,-0.408661353,0.12446909,0.12446909,*,CACNA1C
CACNA1C-2,0.319878476,0.351742406,0.351742406,*,CACNA1C
CACNA1D,-1.828313995,0.651239241,0.651239241,*,CACNA1D
CACNA1G,-0.155741168,0.83496602,0.83496602,*,CACNA1G
CACNA1G-AS1,-2.823026104,0.477752804,0.477752804,*,CACNA1G-AS1
CACNA1H,0.107756596,0.904959007,0.904959007,*,CACNA1H
CACNA1I,-2.006526035,0.501480219,0.501480219,*,CACNA1I
CACNA2D1,0.121420304,0.265136668,0.265136668,*,CACNA2D1
CACNA2D2,-0.11024358,0.9651386,0.9651386,*,CACNA2D2
CACNA2D3,-1.819977178,0.053038579,0.053038579,*,CACNA2D3
CACNA2D4,-0.367462512,0.858908171,0.858908171,*,CACNA2D4
CACNA2D4-2,-0.367462512,0.858908171,0.858908171,*,CACNA2D4
CACNB1,-0.182254003,0.449644297,0.449644297,*,CACNB1
CACNB2,-0.378667105,0.722635436,0.722635436,*,CACNB2
CACNB3,-0.013050755,0.902142948,0.902142948,*,CACNB3
CACNB4,1.830075772,0.307519993,0.307519993,*,CACNB4
CACNG1,-2.586033194,0.516781675,0.516781675,*,CACNG1
CACNG4,-0.664659861,0.041855431,0.041855431,*,CACNG4
CACNG5,-1.005262704,0.805404059,0.805404059,*,CACNG5
CACNG6,2.800146094,0.392666497,0.392666497,*,CACNG6
CACNG7,0.460009682,0.648161914,0.648161914,*,CACNG7
CACNG8,-0.584979,0.862588504,0.862588504,*,CACNG8
CACTIN,-0.075062239,0.484685653,0.484685653,*,CACTIN
CACTIN-AS1,-0.636456359,0.521727098,0.521727098,*,CACTIN-AS1
CACUL1,-0.083662135,0.427179981,0.427179981,*,CACUL1
CACYBP,0.1965395,0.020801219,0.020801219,*,CACYBP
CAD,-0.0134444,0.852188928,0.852188928,*,CAD
CADM1,-0.069524968,0.373842941,0.373842941,*,CADM1
CADM2,0.918290647,0.821944146,0.821944146,*,CADM2
CADM4,-0.281393017,0.46837544,0.46837544,*,CADM4
CADPS2,0.087290137,0.823417117,0.823417117,*,CADPS2
CAHM,1.093743908,0.572815648,0.572815648,*,CAHM
CALB2,-1.017749551,0.260580141,0.260580141,*,CALB2
CALB2-2,-1.017749551,0.260580141,0.260580141,*,CALB2
CALCOCO1,-0.09295434,0.194427306,0.194427306,*,CALCOCO1
CALCOCO2,0.044363252,0.623075257,0.623075257,*,CALCOCO2
CALCRL,-1.6824019,0.122039792,0.122039792,*,CALCRL
CALCRL-AS1,0.054622322,0.889535263,0.889535263,*,CALCRL-AS1
CALD1,-0.043677194,0.420813529,0.420813529,*,CALD1
CALHM1,1.7826395,0.659091782,0.659091782,*,CALHM1
CALHM2,0.092938615,0.661333928,0.661333928,*,CALHM2
CALHM4,3.749047631,0.23146458,0.23146458,*,CALHM4
CALHM5,0.009712112,0.93892797,0.93892797,*,CALHM5
CALHM6,-1.009708826,0.300861639,0.300861639,*,CALHM6
CALM1,0.113550003,0.035733846,0.035733846,*,CALM1
CALM2,-0.034796346,0.617816931,0.617816931,*,CALM2
CALM3,0.01822631,0.7261444,0.7261444,*,CALM3
CALML4,-0.399639318,0.475168147,0.475168147,*,CALML4
CALN1,0.918290647,0.821944146,0.821944146,*,CALN1
CALR,0.016094754,0.689033683,0.689033683,*,CALR
CALR3,0.918290647,0.821944146,0.821944146,*,CALR3
CALU,0.101009335,0.077021562,0.077021562,*,CALU
CALY,-1.600953798,0.152496916,0.152496916,*,CALY
CAMK1,0.002583313,0.977674634,0.977674634,*,CAMK1
CAMK1D,-0.130817656,0.52017366,0.52017366,*,CAMK1D
CAMK1G,-0.071347018,0.92159146,0.92159146,*,CAMK1G
CAMK2A,0.514161459,0.58525613,0.58525613,*,CAMK2A
CAMK2B,1.010105893,0.323940899,0.323940899,*,CAMK2B
CAMK2D,-0.113352607,0.147443148,0.147443148,*,CAMK2D
CAMK2G,-0.095714841,0.297688102,0.297688102,*,CAMK2G
CAMK2N1,-0.189914227,0.00044181,0.00044181,*,CAMK2N1
CAMK2N2,0.33561016,0.549393054,0.549393054,*,CAMK2N2
CAMK4,0.444010524,0.061101422,0.061101422,*,CAMK4
