GeneID,logFC,Pvalue,FDR,Up/Down-Regulation,Gene_name
LOC105376850,0.525198273,0.74056785,0.74056785,*,LOC105376850
LOC105376856,-0.694835281,0.76482907,0.76482907,*,LOC105376856
LOC105376859,2.402676123,0.383883898,0.383883898,*,LOC105376859
LOC105376859-2,1.7826395,0.659091782,0.659091782,*,LOC105376859
LOC105376892,-0.598813221,0.847218128,0.847218128,*,LOC105376892
LOC105376912,-0.598978879,0.793447617,0.793447617,*,LOC105376912
LOC105376944,-3.199819017,0.379077779,0.379077779,*,LOC105376944
LOC105376951,-1.489236484,0.332295025,0.332295025,*,LOC105376951
LOC105376958,-0.043482025,0.991497804,0.991497804,*,LOC105376958
LOC105376959,-2.018709933,0.241126224,0.241126224,*,LOC105376959
LOC105376963,-0.043482025,0.991497804,0.991497804,*,LOC105376963
LOC105376972,-1.828313995,0.651239241,0.651239241,*,LOC105376972
LOC105376982,-0.877857486,0.478954303,0.478954303,*,LOC105376982
LOC105377015,0.068035496,0.908532052,0.908532052,*,LOC105377015
LOC105377035,-1.005262704,0.805404059,0.805404059,*,LOC105377035
LOC105377056,2.336228069,0.559038019,0.559038019,*,LOC105377056
LOC105377056-2,0.918290647,0.821944146,0.821944146,*,LOC105377056
