GeneID,Con_1,Con_2,Con_3,DMEM_1,DMEM_2,DMEM_3,logFC,Pvalue,FDR,I6_1,I6_2,I6_3,logFC,Pvalue,FDR,R2_1,R2_2,R2_3,logFC,Pvalue,FDR
ZNF219,13.72,10.67,12.08,9.68,8.88,8.92,0.530556534,0.000700824,0.000700824,8.58,8.2,8.28,-0.622581215,6.35E-05,6.35E-05,7.31,8.3,7.66,-0.093051258,0.373966225,0.373966225
WFDC3,4.58,5.96,4.86,4.07,4.84,3.2,0.57606654,0.206551171,0.206551171,6.69,6.16,5.76,0.14413299,0.720175735,0.720175735,5.25,8.16,6.76,0.226006309,0.507551692,0.507551692
TTC21A,0.33,0.25,0.29,0.22,0.27,0.22,0.411605666,0.433554198,0.433554198,0.22,0.24,0.25,-0.369004408,0.473133022,0.473133022,0.44,0.32,0.42,0.634403559,0.145325695,0.145325695
EPS8L1-2,0.65,0.22,0.42,0.39,0.35,0.37,0.27854234,0.77257844,0.77257844,0.28,0.11,0.02,-1.947715581,0.178371712,0.178371712,0.41,0.44,0.46,1.996281583,0.103019704,0.103019704
POU4F2,0,0.02,0,0,0,0,1.13719805,0.780480655,0.780480655,0,0,0,-1.117083236,0.784266619,0.784266619,0,0,0,0,0,0
PEX11B,10.19,12.22,11.48,10.68,12.24,10.19,0.109300412,0.482996906,0.482996906,10.28,10.66,10.4,-0.221462393,0.118886696,0.118886696,10.97,12.58,12.23,0.235771155,0.060614377,0.060614377
FLJ32255,0.08,0.82,0.52,0.27,0.42,0.24,0.690140508,0.407160156,0.407160156,0.36,0.47,0.45,-0.199865172,0.798415675,0.798415675,0.36,0.31,0.28,-0.419872175,0.388237851,0.388237851
ICAM4,1.59,0.88,1.36,1.38,1.4,1.07,0.092755905,0.851997756,0.851997756,0.63,0.76,1.12,-0.682507,0.222767086,0.222767086,1.2,1.04,1.1,0.449277459,0.358298433,0.358298433
XKR9,2.55,2.29,1.97,1.58,1.76,1.9,0.644530347,0.03100744,0.03100744,2.93,2.17,1.63,-0.597261658,0.042393228,0.042393228,1.16,0.94,1.06,-0.498599696,0.126008869,0.126008869
RASA3-IT1,0,0.05,0,0.04,0,0.06,-1.220100533,0.673898958,0.673898958,0.03,0.01,0,-0.914516054,0.8213914,0.8213914,0,0,0,-0.928454447,0.820006984,0.820006984
CAPS2,0.05,0.37,0.18,0.28,0.21,0.37,0.08446526,0.893004416,0.893004416,0.05,0.12,0.19,-0.777387274,0.301924995,0.301924995,0.29,0.05,0.18,0.673556189,0.360460782,0.360460782
SKIC8,16.46,19.33,19.15,18.07,18.35,18.98,0.062685955,0.641855444,0.641855444,19.86,20.78,20.4,0.077617033,0.553678133,0.553678133,22.02,22.22,22.85,0.180218914,0.082995993,0.082995993
ARL2,230.74,200.78,241.63,175.65,176.07,172.07,0.458332334,1.68E-05,1.68E-05,166.14,161.04,162.8,-0.564882293,1.40E-07,1.40E-07,178.62,186.59,182.2,0.230057873,1.22E-05,1.22E-05
CBLL2,0,0.15,0,0,0,0,2.888729499,0.46794297,0.46794297,0,0,0,-2.866211923,0.471433674,0.471433674,0,0,0,0,0,0
LENG1-10,2.59,2.46,2.27,1.99,1.92,1.92,0.411916995,0.206575657,0.206575657,1.9,1.9,2,-0.432298509,0.184295053,0.184295053,2.25,2.18,2.25,0.252389183,0.400625902,0.400625902
TIMM23B-AGAP6,1.91,4.4,1.44,2.74,2.31,2.91,-0.040576394,0.919718084,0.919718084,3.09,3.3,3.12,0.283124209,0.470077349,0.470077349,2.34,2.28,2.19,-0.512941961,0.000419212,0.000419212
IMPA1,12.94,14.22,9.6,13.54,10.87,15.15,0.009547116,0.949724301,0.949724301,13.72,13.56,13.76,0.100092403,0.453628722,0.453628722,12.28,9.56,11.28,-0.330562506,0.002254865,0.002254865
DAAM2,0.65,0.8,0.77,0.91,0.89,0.93,-0.212533077,0.356176191,0.356176191,0.79,0.7,0.67,-0.085366649,0.726093236,0.726093236,1.13,0.76,0.89,0.351786499,0.149926077,0.149926077
TMEM154,1.27,0.8,1.31,1.68,1.78,1.99,-0.547345108,0.008594304,0.008594304,0.96,0.86,2.08,0.308188766,0.124474204,0.124474204,1.18,1.62,1.56,-0.008234357,0.959605464,0.959605464
HCFC2,1.5,2.84,1.35,2.73,1.93,2.83,-0.47432407,0.094539756,0.094539756,2.88,2.23,2.12,0.346478026,0.14666797,0.14666797,2.14,1.51,2.01,-0.488604237,0.043434221,0.043434221
DUSP6,60.75,63.85,60.28,67.05,66.79,66.36,-0.036496829,0.456265459,0.456265459,71.11,68.79,66.52,0.086985483,0.10953401,0.10953401,67.97,67.48,68.39,0.008261811,0.830442888,0.830442888
LSMEM2,0,0.34,0.2,0.13,0.18,0.04,0.691139764,0.66290633,0.66290633,0.37,0.17,0.04,0.086417606,0.954720799,0.954720799,0.17,0.29,0.09,-0.054366038,0.962779187,0.962779187
THAP8,5.02,3.1,4.49,3.8,3.4,3.23,0.386279201,0.245311028,0.245311028,4.69,3.55,3.24,-0.261102343,0.455197428,0.455197428,3.19,4.69,4.68,0.147039095,0.606790057,0.606790057
DDX21,29.42,44.18,29.54,51.99,47.72,56.1,-0.526458472,0.00011124,0.00011124,51.55,50.64,50.1,0.501912149,8.95E-05,8.95E-05,42.41,31.6,36.85,-0.435587726,1.33E-06,1.33E-06
BMT2,0.91,1.54,0.88,1.92,1.59,1.8,-0.598448403,0.038527117,0.038527117,1.47,1.8,1.8,0.542201261,0.064182496,0.064182496,1.38,1.35,1.47,-0.248821534,0.222603511,0.222603511
DUS3L,34.04,31.82,35.31,27.95,27.28,28.96,0.368655528,0.000610594,0.000610594,26.52,28.89,32.74,-0.244823879,0.055634106,0.055634106,30.16,29.79,30.01,0.034794239,0.710496245,0.710496245
ALDH8A1,0,0,0,0,0,0.02,-0.786355302,0.847184675,0.847184675,0.02,0.02,0,1.679305148,0.677641612,0.677641612,0.09,0,0.07,1.864561843,0.379066972,0.379066972
ABHD16A-5,3.8,3.15,4.58,3.14,3.67,2.64,0.378822208,0.171147915,0.171147915,2.43,2.98,3.77,-0.415256865,0.155920272,0.155920272,2.87,2.86,2.55,-0.109272233,0.660913526,0.660913526
HAUS2,10.9,10.41,9.79,11.79,12.24,11.29,-0.131697915,0.215282076,0.215282076,12.17,12.29,13.24,0.322520575,0.000743135,0.000743135,11.62,11.61,12.25,-0.205502097,0.007368828,0.007368828
SLC28A2,0.01,0,0,0,0,0,1.13719805,0.780480655,0.780480655,0,0.01,0.01,0.761002237,0.833954766,0.833954766,0.03,0,0.03,1.610115857,0.457889266,0.457889266
ACAT2,80.75,79.14,78.29,81.84,80.24,87.67,0.018307541,0.81372528,0.81372528,82.01,80.52,79.47,-0.061074726,0.393364455,0.393364455,92.42,87.93,90.68,0.205444981,1.36E-05,1.36E-05
CHST3,18.58,18.69,17.91,20.47,20.75,20.66,-0.087513459,0.163369255,0.163369255,22.6,21.64,20.4,0.15687853,0.02935986,0.02935986,22.06,22.65,22.54,0.076200617,0.141870736,0.141870736
IFIT3,64.5,84.15,62.41,104.64,103.21,107.3,-0.503431421,1.59E-07,1.59E-07,105.33,104.5,104.11,0.502650151,9.58E-08,9.58E-08,84.05,68.79,77.23,-0.417700705,5.01E-10,5.01E-10
TRAPPC9,4.1,3.72,4.4,3.55,3.6,3.94,0.24983589,0.141691587,0.141691587,3.38,3.36,3.63,-0.274860414,0.098926817,0.098926817,3.89,3.27,3.43,0.024044139,0.832058461,0.832058461
CHCHD4,28.95,29.18,31.31,31.28,31.45,31.01,0.028351535,0.779680306,0.779680306,27.22,27.55,28.76,-0.186191248,0.078233348,0.078233348,30.66,27.83,30.22,0.143736011,0.089916982,0.089916982
UNC79-2,0.02,0,0.04,0,0,0.02,1.13719805,0.780480655,0.780480655,0.01,0.01,0.01,1.731119783,0.506792095,0.506792095,0.02,0.05,0.05,-0.962751784,0.643391988,0.643391988
NOP14,57.16,63.1,57.72,68.29,70.29,69.25,-0.085850947,0.124151529,0.124151529,76.61,75.06,71.07,0.196117769,0.000272414,0.000272414,72.96,75.57,76.2,0.046961121,0.255184476,0.255184476
DENND3,8.97,10.32,7.75,10.07,10.05,9.7,-0.046441633,0.599700121,0.599700121,9.85,10.34,9.56,0.059672802,0.498737689,0.498737689,8.59,9.83,9.17,-0.123811272,0.17254472,0.17254472
FDX2,46.61,40.83,44.62,31.71,32.45,29.62,0.589593336,7.20E-06,7.20E-06,27.27,23.98,24.5,-0.901264884,5.48E-11,5.48E-11,33.88,28.73,31.97,0.379422506,0.001064942,0.001064942
RAB8A,62.79,65.81,65.45,66.08,67.21,65.16,0.047806702,0.42365293,0.42365293,70.67,70.74,68.32,0.037702084,0.52413142,0.52413142,70.23,68.9,69.9,0.024796123,0.529194757,0.529194757
LRRK1,1.78,1.91,1.86,2.31,2.27,2.31,-0.24134831,0.012070738,0.012070738,2.13,2.13,2.24,0.160843031,0.100864475,0.100864475,2.07,2.09,2.02,-0.048644442,0.550887079,0.550887079
ZC3H11A,10.14,15.18,9.9,18.64,18.25,19.72,-0.562775041,0.00019437,0.00019437,20.17,20.27,20.18,0.727932247,8.14E-07,8.14E-07,15.14,12.46,13.13,-0.576393523,1.19E-09,1.19E-09
SPSB1,12.37,11.34,13.4,11.53,11.81,11.66,0.165935228,0.183180532,0.183180532,11.39,11.31,11.81,-0.179948728,0.152857212,0.152857212,11.63,13.16,12.61,0.143423214,0.111409393,0.111409393
ZDHHC11,1.45,2.61,1.13,0.99,1.12,1.09,0.699765061,0.08326776,0.08326776,1.51,1.86,2.23,-0.023341785,0.951535326,0.951535326,1.03,1.2,1.18,-0.539828169,0.052667204,0.052667204
NT5C3B,69.48,70.85,71.42,56.19,61.19,54.69,0.399809772,2.74E-06,2.74E-06,53.28,56.74,60.3,-0.405405641,1.74E-06,1.74E-06,66.1,65.95,65.16,0.260234019,6.30E-05,6.30E-05
NR1H3,6.86,7.6,5.16,5.96,6.06,5.4,0.309329768,0.158242541,0.158242541,5.01,4.19,3.3,-0.710775733,0.004804463,0.004804463,3.32,5.25,4.34,0.073745563,0.787686162,0.787686162
MAGEC2,4.43,4.28,5.64,4.86,3.64,5.14,0.157390293,0.5194108,0.5194108,5,4.7,4.86,-0.059212322,0.780758463,0.780758463,4.73,4.77,4.72,0.001363927,0.993135411,0.993135411
IFITM3,1071.88,904.7,1030.12,806.73,847.3,786.42,0.420355542,2.76E-05,2.76E-05,810.72,798.23,782.95,-0.471109893,8.33E-07,8.33E-07,765.57,759.56,760.88,0.056508603,0.146810622,0.146810622
SLC25A42,4.06,3.68,3.56,3.51,3.71,2.89,0.246333036,0.191262992,0.191262992,2.59,2.92,3.53,-0.404531863,0.041826885,0.041826885,2.77,3.66,3.28,0.141092048,0.474502577,0.474502577
RAD51AP2,0,0,0,0.01,0.01,0.01,-1.306441709,0.64351297,0.64351297,0,0,0,-1.117083236,0.784266619,0.784266619,0,0,0,0.995098905,0.807332645,0.807332645
VAMP1,3.29,5.11,5.04,3.63,4.03,3.07,0.508377764,0.087531753,0.087531753,4.13,3.65,3.69,-0.249864864,0.382537,0.382537,3.01,4.67,3.24,0.231565556,0.313367432,0.313367432
TMC1,0,0.01,0,0,0,0.01,0.175425378,0.965708363,0.965708363,0.01,0,0,-0.155302556,0.969639891,0.969639891,0,0,0,-0.928454447,0.820006984,0.820006984
SNAPC5,5.53,5.81,6.19,8.42,9.17,7.87,-0.465146828,0.015404669,0.015404669,5.5,5.82,7.35,0.039309115,0.873425451,0.873425451,6.12,4.54,5.06,-0.134815428,0.559766398,0.559766398
ODF2L,2.99,6.43,2.58,6.05,5.27,6.62,-0.509508349,0.091346389,0.091346389,4.98,5.22,5.25,0.323618471,0.280239182,0.280239182,4.69,3.73,4.24,-0.264431455,0.038894157,0.038894157
SNTB2,3.93,4.4,3.61,5.6,5.19,6.05,-0.421511053,8.18E-05,8.18E-05,5.49,5.54,5.13,0.371178557,0.000108398,0.000108398,4.93,4.86,5,-0.109630493,0.121083489,0.121083489
SLC20A1-DT,0,0.21,0.24,0.64,0.45,0.41,-1.635293029,0.400761219,0.400761219,0.44,0.45,0.45,1.433035834,0.470773522,0.470773522,0,0.76,0.41,0.024974833,0.987550354,0.987550354
JMJD7,3.68,2.93,2.7,2.05,2.82,2.1,0.506773094,0.129284303,0.129284303,2.2,2.31,2.55,-0.499084002,0.112153942,0.112153942,3.04,2.37,2.39,0.195198386,0.496954845,0.496954845
STAMBPL1,20.35,23.93,22.51,25.94,26.48,27.71,-0.174736953,0.061266959,0.061266959,28.89,29.83,30.97,0.336205284,0.000261649,0.000261649,27.31,24.83,26.75,-0.157883306,0.034026726,0.034026726
NTRK3,0,0,0.11,0,0,0,3.165665886,0.4248969,0.4248969,0.02,0,0,-0.72637295,0.801829476,0.801829476,0.01,0,0,0.066676855,0.977149638,0.977149638
RTL10,4.69,4.14,4.07,4.44,4.65,4.51,-0.00145509,0.990758344,0.990758344,4.2,4.12,4.13,-0.116438444,0.354020008,0.354020008,4.24,4.8,4.38,0.122519623,0.206081884,0.206081884
FAM204A,7.94,14.25,14.37,15.91,15.84,15.28,-0.432086623,0.009340008,0.009340008,15.86,13.77,13.92,0.441665453,0.005443229,0.005443229,11.04,11.48,12.03,-0.371400055,0.006308819,0.006308819
TAP1-5,10.2,9.6,9.92,8.87,8.87,8.56,0.294156425,0.017582177,0.017582177,8.42,8.21,8.09,-0.345098487,0.005715281,0.005715281,8.61,8.93,8.78,0.090430275,0.390167606,0.390167606
ASB6,18.38,15.72,16.97,14.2,14.76,13.7,0.340700102,0.002227296,0.002227296,14.19,13.59,14.53,-0.345282442,0.001911973,0.001911973,14.51,13.64,14.07,0.019487897,0.765319882,0.765319882
EPC2,3.31,3.52,2.49,5.55,5.41,5.34,-0.732127125,2.21E-05,2.21E-05,5.07,5.05,4.91,0.602928813,0.000515008,0.000515008,4.87,3.37,3.9,-0.271625526,0.063879282,0.063879282
RNASET2,3.17,3.19,2.92,2.72,2.87,2.69,0.242011376,0.03298817,0.03298817,2.92,2.85,2.63,-0.212299428,0.065663294,0.065663294,2.98,3.2,3.12,0.166770199,0.094114984,0.094114984
LILRB3,0.02,0.12,0,0.03,0,0.05,0.589565599,0.784889383,0.784889383,0.02,0.03,0.03,-1.267123918,0.529898255,0.529898255,0,0.02,0,-1.447875727,0.578109557,0.578109557
SH3GLB1,31.97,33.55,30.5,37.72,35.63,38.82,-0.371346864,1.04E-06,1.04E-06,38.38,36.82,31.11,0.25839349,0.000365803,0.000365803,32.66,36.26,35.31,-0.169452811,0.001430602,0.001430602
MOB1A,22.38,25.73,20.87,30.82,30.06,30.57,-0.331091458,8.10E-06,8.10E-06,28.36,28.79,28.01,0.236594613,0.001259047,0.001259047,27.47,22.7,25.06,-0.157141886,0.028367068,0.028367068
GJD2-DT,0,0.02,0,0,0,0,1.13719805,0.780480655,0.780480655,0,0,0,-1.117083236,0.784266619,0.784266619,0,0,0,0,0,0
CPLANE2,0.37,0.68,0.45,0.5,0.4,0.47,0.234515817,0.719463996,0.719463996,0.65,0.63,0.52,0.155203933,0.798363972,0.798363972,0.29,0.47,0.36,-0.62603862,0.287532711,0.287532711
DDX39B-7,0.02,11.64,31.61,0.03,0.01,5.34,2.99138419,0.422184328,0.422184328,11.09,11.27,5.66,-0.679359942,0.729901825,0.729901825,5.88,0.01,5.8,-1.287350029,0.45648653,0.45648653
CLSTN1,69.78,61.69,73.45,73.66,75.88,72.14,-0.033037337,0.734426655,0.734426655,73.41,73.91,74.6,0.044471383,0.647013281,0.647013281,74.31,76.67,76.49,0.053243847,0.083763712,0.083763712
TMEM184A,2.6,2.42,2.33,1.98,2.01,2.35,0.216307406,0.226191015,0.226191015,1.8,1.95,1.84,-0.398943221,0.035608108,0.035608108,1.56,2.62,2.12,0.308566621,0.177689891,0.177689891
PHKA2,4.35,4.37,4.52,4.65,4.45,4.88,-0.028042783,0.821790156,0.821790156,4.41,4.53,4.52,-0.05330938,0.664180247,0.664180247,5.23,4.49,5.05,0.218165077,0.057115183,0.057115183
KCTD4,0.08,0.2,0,0.02,0,0.05,1.992406121,0.33430049,0.33430049,0,0.03,0.03,-2.501676571,0.242373728,0.242373728,0,0,0,-1.845907733,0.64740178,0.64740178
TMED9,149.58,139.5,146.76,108.07,110.09,109.33,0.4950476,2.86E-11,2.86E-11,111.95,112.41,111.49,-0.453174528,9.14E-10,9.14E-10,126.92,137.34,134.12,0.276597559,6.25E-11,6.25E-11
FARP1,6.02,7.23,8.67,6.91,6.72,6.88,0.113454409,0.360331017,0.360331017,7.02,7.38,7.62,-0.02397449,0.850821414,0.850821414,7.58,7.66,7.42,0.084161863,0.282479021,0.282479021
HECW1,2.76,1.83,1.96,0.48,0.45,0.54,0.115327596,0.78100033,0.78100033,0.92,0.93,1.07,-0.400371932,0.367692163,0.367692163,2.67,0.62,1.66,0.554626253,0.121062071,0.121062071
TRIM2,1.5,2.62,1.45,3.06,3.31,3.16,-0.663571534,0.001552125,0.001552125,2.26,2.34,2.17,0.26125981,0.224347585,0.224347585,2.35,1.74,1.92,-0.219497698,0.203212636,0.203212636
CGRRF1,9.96,10.56,10.17,11.48,10.46,10.63,0.001650031,0.989985721,0.989985721,8.22,9.07,10.3,-0.251619672,0.102700064,0.102700064,7.91,10.44,8.88,0.024477595,0.882426762,0.882426762
PAX5,0.07,0.11,0.08,0.07,0.02,0.08,0.617996267,0.41202674,0.41202674,0.04,0.09,0.11,-0.12584042,0.856670315,0.856670315,0.04,0.11,0.06,-0.205214776,0.776070653,0.776070653
LYSMD1,1.74,2.13,2.24,1.87,1.44,2.16,0.276060423,0.371280456,0.371280456,1.59,2.04,2.1,-0.195345944,0.484267122,0.484267122,2.17,2.67,2.38,0.308567244,0.198185409,0.198185409
OBI1,3.05,4.19,2.38,4.05,3.75,5.38,-0.38225789,0.122623563,0.122623563,4.28,4.44,4.46,0.381621838,0.075029514,0.075029514,2.98,3.22,3.13,-0.466322424,0.000479343,0.000479343
CLK2-2,3.38,3.93,2.92,3.96,2.86,3.85,0.097627964,0.69027947,0.69027947,4.67,4.2,2.9,0.099584313,0.695534659,0.695534659,3.38,2.88,2.83,-0.301733175,0.180565824,0.180565824
MAP3K7CL,0.8,0.7,1,0.71,0.88,0.69,0.038722699,0.935770864,0.935770864,0.69,0.98,0.97,0.102914337,0.834922221,0.834922221,0.78,1.03,1.12,0.098448312,0.827125713,0.827125713
EDEM3,3.14,5.39,3.27,6.44,6.19,6.64,-0.627062758,0.001082686,0.001082686,6.2,6.08,6.31,0.591438912,0.001933381,0.001933381,5.36,3.31,4.36,-0.463520076,0.004939559,0.004939559
ZNF324B,5.39,4.38,4.43,4.43,4.2,4.38,0.063361588,0.68786208,0.68786208,3.92,4.8,4.91,-0.164196069,0.287607148,0.287607148,4.51,4.71,4.15,0.164498308,0.110115407,0.110115407
NIBAN2,457.29,397.86,445.55,353.49,349.53,356.83,0.378669327,1.65E-05,1.65E-05,349.23,351.9,357.37,-0.373328107,2.43E-05,2.43E-05,365.18,367.38,366.34,0.070980104,0.000559556,0.000559556
LAIR2-4,0,0.36,0.11,0.04,0.04,0,1.898634129,0.639269758,0.639269758,0,0.04,0.08,-1.876297065,0.643235966,0.643235966,0.11,0.11,0.11,0.11,0.11,0.11
TMCC2,6.51,5.57,7.39,4.47,4.05,4.43,0.773857009,3.86E-05,3.86E-05,4.54,4.34,4.6,-0.591949632,0.001153952,0.001153952,5.18,5.78,5.24,0.25112005,0.035404114,0.035404114
SLFN12,3.66,5.79,3.55,6.42,5.59,7.21,-0.485943605,0.032399185,0.032399185,5.16,5.74,6.46,0.362820589,0.111940277,0.111940277,5.07,4.58,4.74,-0.245822481,0.111039736,0.111039736
FAM83D,55.05,54.67,62.07,60.47,60.14,58.08,0.025723617,0.776640351,0.776640351,62.75,62.5,62.29,0.049068417,0.584665544,0.584665544,62.03,62.78,63.94,0.0406467,0.342815916,0.342815916
MMS22L,2.09,4,2.13,5.27,4.36,5.92,-0.662982926,0.005923041,0.005923041,4.08,4.22,4.81,0.494991247,0.039425019,0.039425019,3.53,3.09,2.82,-0.518177154,0.001822261,0.001822261
NECTIN1,10.7,9.82,11.73,9.32,10.27,9.22,0.253201791,0.032834719,0.032834719,10.18,10.56,10.31,-0.056692577,0.622543922,0.622543922,10.03,11.02,10.32,-0.036178783,0.629624283,0.629624283
ARL13A,0,0.07,0,0,0,0,1.898634129,0.639269758,0.639269758,0,0,0,-1.876297065,0.643235966,0.643235966,0.19,0,0.07,3.709426168,0.220936246,0.220936246
CLIC1-4,247.19,221.56,247.04,187.8,189.96,186.97,0.433886566,1.00E-06,1.00E-06,194.58,197.82,202.58,-0.359317554,6.45E-05,6.45E-05,219.25,212.75,214.67,0.172157633,9.31E-06,9.31E-06
KLRG2,0.08,0.04,0,0,0,0,3.008595453,0.449021602,0.449021602,0,0,0,-2.987390947,0.45223154,0.45223154,0,0.05,0,1.876389892,0.642246183,0.642246183
TMEM212,0.19,2.88,0.17,0.3,0.03,0.42,2.168625987,0.073591956,0.073591956,0.49,0.4,0.36,-1.456698388,0.164674525,0.164674525,0.11,0.14,0.17,-1.619709943,0.03235733,0.03235733
SAMD13,0.43,0.08,0,0.17,0.13,0.28,-0.038504822,0.979283918,0.979283918,0.29,0.34,0.39,0.97313536,0.450819004,0.450819004,0.13,0.25,0.17,-0.970632218,0.248556887,0.248556887
NIPSNAP3A,19.57,18.16,20.16,16.08,15.42,17.03,0.340365545,0.008728506,0.008728506,17.82,19.01,18.78,-0.141360824,0.258478187,0.258478187,16.42,16.62,16.52,-0.125816012,0.19160878,0.19160878
FGF7,0,0.04,0,0,0,0,2.888729499,0.46794297,0.46794297,0,0,0,-2.866211923,0.471433674,0.471433674,0,0.06,0,3.459926327,0.381236085,0.381236085
NPHP4,3.16,3.3,2.94,2.91,2.67,3.11,0.166569634,0.280453403,0.280453403,3.24,2.72,2.54,-0.257521041,0.080380114,0.080380114,2.63,3.11,2.79,0.098714023,0.45578463,0.45578463
GRM2,0.07,0,0.08,0.08,0.11,0.05,-1.244632562,0.386422645,0.386422645,0.03,0.04,0.06,0.313137944,0.837926694,0.837926694,0.04,0.06,0.08,0.160903931,0.88611952,0.88611952
GLIPR1L2,0.58,3.99,0.78,1.57,1.64,0.78,0.543771656,0.478978135,0.478978135,1.32,1.19,1.5,-0.507681715,0.491539859,0.491539859,0.54,0.63,0.47,-1.284022248,0.005519937,0.005519937
PRXL2B-2,20.3,16.35,18.68,13.16,12.67,13.44,0.574302684,2.46E-05,2.46E-05,12.49,13.61,14.39,-0.528756135,0.000192294,0.000192294,14.05,15.06,15.07,0.156768195,0.092898972,0.092898972
PKN1,231.41,205.61,254.18,169.27,169.4,170.53,0.530120287,2.52E-07,2.52E-07,175.04,174.09,173.6,-0.488251658,2.36E-06,2.36E-06,172.51,183.75,176.45,0.058892537,0.08730645,0.08730645
RTP4-2,1.07,1.34,1.22,1.35,1.52,1.28,-0.096755544,0.81058031,0.81058031,0.86,0.9,0.99,-0.489510057,0.263092681,0.263092681,1.64,0.97,1.13,0.484340155,0.261088624,0.261088624
SEPTIN7-DT,0.23,0.22,0.25,0.11,0.23,0.1,0.748564906,0.644551261,0.644551261,0.36,0.18,0,-0.183718486,0.914365938,0.914365938,0,0,0,-3.378135112,0.292524094,0.292524094
GLG1,18.03,18.56,20.57,23.71,23.72,25.41,-0.272373706,0.00162031,0.00162031,23.24,23.89,24.01,0.256794434,0.002075211,0.002075211,23.78,23.91,23.7,0.024159381,0.508837428,0.508837428
RPLP2,2952.44,2327.37,2520.12,1919.25,1984.4,1861.28,0.590271094,1.05E-07,1.05E-07,2036.05,1928.34,1843.42,-0.632028639,2.75E-09,2.75E-09,1958.04,1897.84,1931.82,0.212311872,7.12E-06,7.12E-06
DPP8,2.15,3.04,1.65,4.79,4.46,4.5,-0.895674213,1.57E-06,1.57E-06,4.58,4.44,4.5,0.917093192,1.04E-06,1.04E-06,4,2.88,3.43,-0.455034186,0.00205501,0.00205501
SERPINA3,0.07,0.11,0.16,0.04,0.04,0.03,1.774354077,0.26099624,0.26099624,0.07,0.07,0.07,-0.753436776,0.576096725,0.576096725,0.07,0.04,0.04,-0.549396809,0.720075381,0.720075381
TBC1D5,3.63,3.76,3.35,6.1,5.8,6.63,-0.706912691,1.65E-09,1.65E-09,5.36,5.22,5.08,0.471012528,1.27E-05,1.27E-05,5.11,4.83,4.93,-0.041819432,0.616986908,0.616986908
GTF2H2C,3.95,0.52,1.13,1.55,0.08,4.27,0.835814507,0.274157547,0.274157547,2.24,2.12,2.54,-0.088353688,0.886281733,0.886281733,1.55,2.22,1.75,0.499115543,0.31246111,0.31246111
AP3S2,6.77,6.1,7.11,6.17,7.19,6.16,0.118582508,0.409830107,0.409830107,6.06,6.19,5.69,-0.233748951,0.083795824,0.083795824,6.37,6.99,6.37,0.154346668,0.111220693,0.111220693
PNPT1,4.73,7.14,6.38,8.98,10.49,8.44,-0.752073904,5.87E-06,5.87E-06,10.26,10.04,11.19,0.728061669,1.15E-05,1.15E-05,7.94,6.25,7.65,-0.397415559,0.000445524,0.000445524
ANKRD36,0.2,0.87,0.37,0.28,0.27,0.17,0.906375256,0.28336736,0.28336736,0.35,0.25,0.12,-0.96772059,0.273117309,0.273117309,0.1,0.27,0.1,-1.231400064,0.059648424,0.059648424
NEU1-6,0.23,0.21,0.36,0.3,0.41,0.31,-0.235445766,0.675712247,0.675712247,0.28,0.28,0.36,0.068007385,0.904367131,0.904367131,0.3,0.15,0.23,-0.389857394,0.471571489,0.471571489
TARBP1,1.74,3.76,2.13,3.02,2.97,2.6,-0.228092759,0.427851456,0.427851456,3.06,3.77,4.02,0.44786576,0.111592772,0.111592772,2.72,2.16,2.37,-0.517603701,0.000463312,0.000463312
BCL6,5.12,4.5,5.12,5.93,5.46,6.17,-0.154289622,0.308559878,0.308559878,5.8,5.31,5.27,0.067767397,0.661898272,0.661898272,5.57,6.06,5.67,0.096147185,0.422730443,0.422730443
ATXN3,0.84,1.15,0.92,1.22,1.31,1.16,-0.267822928,0.193222879,0.193222879,1.32,1.32,1.3,0.370411391,0.059637477,0.059637477,1.11,0.8,1.1,-0.363567578,0.060979416,0.060979416
AK9,0.72,0.66,0.36,0.99,0.56,1.01,-0.560199142,0.155741026,0.155741026,0.8,0.74,0.78,0.337382368,0.383215379,0.383215379,0.57,0.26,0.47,-0.822182106,0.04181204,0.04181204
GABRR2,0.04,0.15,0.09,0.06,0.03,0.11,0.448760377,0.637225243,0.637225243,0.03,0.03,0.05,-1.171062816,0.214702112,0.214702112,0.04,0.04,0.03,-0.195402598,0.843671703,0.843671703
NPIPA5-2,0,0.55,0.08,0.36,0.09,0.8,-0.721064186,0.622742893,0.622742893,0,0.04,0.08,-2.699865382,0.16705277,0.16705277,0.13,0.18,0.04,1.592629474,0.289771931,0.289771931
ZC3H12B,0.12,0.21,0.06,0.2,0.19,0.23,-0.552505677,0.345858796,0.345858796,0.19,0.14,0.09,0.081354903,0.901916562,0.901916562,0.11,0.08,0.1,-0.666119895,0.216196988,0.216196988
ZNF488,4.42,4.31,5.28,4.23,3.9,4.64,0.218320719,0.203915214,0.203915214,3.03,3.21,3.27,-0.633643095,0.000231801,0.000231801,4.07,3.88,4.05,0.350611547,0.010030307,0.010030307
ZNF28,32.08,14.8,29.4,16.85,12.36,14.32,-0.485075087,0.067283225,0.067283225,15.01,11.74,6.62,0.053057729,0.839418181,0.839418181,16.82,9.28,14.72,-0.121327247,0.583085707,0.583085707
PRH1-PRR4,3.83,3.82,3.47,4.89,2.6,4.89,0.123020047,0.893089516,0.893089516,7.55,6.94,7.83,1.289983096,0.099001351,0.099001351,1.64,12.45,7.48,-0.684058429,0.410428921,0.410428921
