GeneID,Con_1,Con_2,Con_3,DMEM_1,DMEM_2,DMEM_3,logFC,Pvalue,FDR,I6_1,I6_2,I6_3,logFC,Pvalue,FDR,R2_1,R2_2,R2_3,logFC,Pvalue,FDR
ZNF436-2,0.86,0.93,0.73,1.14,0.94,1.3,-0.347529793,0.217665554,0.217665554,1.19,1.14,1.18,0.41876806,0.100416098,0.100416098,1.13,0.98,1.14,-0.099015182,0.649184949,0.649184949
DUSP12,25.3,28.46,28.7,32.48,33.88,31.56,-0.162576377,0.127247788,0.127247788,35.03,31.99,28.68,0.129177835,0.291301884,0.291301884,32.21,32.43,31.3,0.050395034,0.614637196,0.614637196
CDK10,17.63,14.99,19.62,16.08,14.87,17.4,0.255667905,0.087332571,0.087332571,15.05,13.53,13.58,-0.379513411,0.008412997,0.008412997,13.37,16.12,15.05,-0.01989396,0.864315177,0.864315177
ELP5,21.09,20.66,21.78,18.52,16.98,17.56,0.363504815,0.002521364,0.002521364,12.45,15.87,16.73,-0.550354688,0.000171241,0.000171241,18.45,17.4,18.07,0.270911545,0.034937272,0.034937272
SLC12A2-DT,9.1,11.87,10.84,10.7,10.9,10.52,0.099120354,0.480100533,0.480100533,8.95,9.21,8.52,-0.17195338,0.261723385,0.261723385,8.82,9.5,9.2,-0.05280279,0.681906695,0.681906695
KCNB1,0.01,0,0,0,0,0.01,-0.758895019,0.803680713,0.803680713,0,0,0,-2.025303345,0.61588933,0.61588933,0,0,0,0,0,0
AP2A2-3,3.02,3.67,3.56,3.03,3.36,3.11,0.187999022,0.215291411,0.215291411,4.07,4.06,3.54,0.113449133,0.448733912,0.448733912,4.58,4.23,4.64,0.23240151,0.058516035,0.058516035
RAB9A,12.32,12.94,12.61,15.05,14.68,14.86,-0.161129384,0.137740069,0.137740069,16.1,16.31,16.25,0.287664923,0.006515454,0.006515454,14.51,15.49,15.54,-0.060533798,0.507105871,0.507105871
SLC38A2,43.11,55.38,40.14,67.01,63.95,71.97,-0.494174749,4.80E-09,4.80E-09,62.88,63.86,62.73,0.438218126,1.15E-09,1.15E-09,59.14,42.78,50.86,-0.306431226,0.000818805,0.000818805
PGBD4,0.1,0.34,0.12,0.22,0.24,0.25,-0.296848038,0.620465927,0.620465927,0.24,0.21,0.25,0.276682934,0.644766229,0.644766229,0.28,0.2,0.23,0.034710601,0.92850939,0.92850939
NMRAL1,24.59,18.41,23.14,18.05,16.68,19.06,0.409224961,0.022946594,0.022946594,18.48,17.95,16.65,-0.417356218,0.020537977,0.020537977,16.93,18.52,18,0.037600554,0.762316467,0.762316467
IL11,58.22,47.3,49.53,45.07,46.61,43.23,0.286423835,0.014721945,0.014721945,48.94,48.5,46.56,-0.186405129,0.106535864,0.106535864,50.06,54.11,51.85,0.148191934,0.008232227,0.008232227
LRRFIP1,11.48,17.17,11.92,24.42,22.11,26.06,-0.767999634,4.16E-08,4.16E-08,23.76,23.39,23.84,0.757753454,5.87E-09,5.87E-09,20.46,16.38,18.72,-0.347899568,5.55E-05,5.55E-05
RDH12,0.15,0.06,0,0.06,0.06,0.08,0.15805452,0.924276316,0.924276316,0.11,0.12,0.03,0.219179186,0.893822163,0.893822163,0.21,0,0.2,0.691356521,0.625416773,0.625416773
FBXO24,0.12,0.03,0.03,0,0.06,0.05,0.764431633,0.686914536,0.686914536,0.16,0.11,0.09,0.945787232,0.480944268,0.480944268,0,0.05,0.05,-1.662729078,0.237316243,0.237316243
CD99-2,155.3,149.31,157.48,136.88,139.4,136.52,0.248190887,0.001018078,0.001018078,134.49,132.11,135.47,-0.290233998,0.000141475,0.000141475,145.14,154.17,148.22,0.206627997,0.00011378,0.00011378
STX6,8.51,10.05,9.41,11.76,11.32,11.92,-0.247721503,0.004931192,0.004931192,12.14,11.64,12.4,0.304123534,0.000598341,0.000598341,12.09,9.9,10.74,-0.121511299,0.179187329,0.179187329
SLC44A5,0.07,0.07,0.16,0.2,0.14,0.2,-0.937841088,0.228518798,0.228518798,0.14,0.1,0.13,0.430568334,0.603749153,0.603749153,0.01,0.03,0.04,-2.240144258,0.024259963,0.024259963
CCDC149,2.53,2.51,2.95,3.29,3.48,3.08,-0.225992235,0.135326291,0.135326291,3.88,3.36,3.49,0.325870448,0.037724815,0.037724815,2.81,2.83,2.98,-0.238576684,0.07556892,0.07556892
TAGLN3,0.65,1.76,1.45,1.07,0.8,1.23,0.30279126,0.630143383,0.630143383,0.62,0.9,1.16,-0.528319826,0.427204183,0.427204183,0.71,0.98,0.88,-0.078857425,0.89599977,0.89599977
PTGS1,3.18,2.85,3.04,3.16,2.86,2.97,0.09864558,0.529929809,0.529929809,2.77,3,3.42,-0.061596027,0.716874908,0.716874908,2.85,2.92,2.76,-0.070721435,0.611555008,0.611555008
MOB3A,34.8,32.99,37.16,32.19,31.21,33.98,0.192589974,0.042317577,0.042317577,34.82,34.73,33.99,-0.089527291,0.328913568,0.328913568,33.04,33.12,32.99,-0.038236798,0.403774934,0.403774934
CARD19,149.24,119.3,141.57,91.84,95.57,90.53,0.667709232,2.57E-08,2.57E-08,94.81,91.77,88.64,-0.687349804,1.10E-08,1.10E-08,103.26,115.23,104.15,0.308305933,0.000152575,0.000152575
MROH1,11.9,10.83,9.84,7.91,8.25,7.63,0.389803556,0.000732887,0.000732887,8.39,8.82,9.14,-0.325540372,0.004219002,0.004219002,9.39,9.51,9.5,0.104152657,0.193287391,0.193287391
MMP9,0.51,0.32,0.44,0.47,0.4,0.51,-0.034481703,0.950105783,0.950105783,0.33,0.65,0.82,0.420775711,0.479481499,0.479481499,0.69,0.47,0.66,0.042656244,0.932366885,0.932366885
