GeneID,logFC,PValue,FDR,Regulation,PathwayCount,PathwayList
FAT1,0.731870622,2.82e-31,2.82e-31,Up,4,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HOMOPHILIC_CELL_CELL_ADHESION
PTPN11,0.669446086,4e-09,4e-09,Up,4,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION
RB1,0.608372044,5.83e-06,5.83e-06,Up,4,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_FIBRIL_ORGANIZATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_PROLIFERATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_COLLAGEN_FIBRIL_ORGANIZATION
RELN,0.867315656,0.00137447,0.00137447,Up,4,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ECM_RECEPTOR_INTERACTION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_FOCAL_ADHESION
ROBO1,0.67967653,0.000205165,0.000205165,Up,4,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_PROLIFERATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HOMOPHILIC_CELL_CELL_ADHESION
SCG2,0.762966392,0.049078065,0.049078065,Up,4,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_PROLIFERATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
UTRN,0.756388931,1.59e-05,1.59e-05,Up,4,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION
WNK1,0.610256717,3.57e-29,3.57e-29,Up,4,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HETEROTYPIC_CELL_CELL_ADHESION
ABL2,0.676302878,1.15e-07,1.15e-07,Up,3,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION
ADAMTS1,0.587308601,1.71e-05,1.71e-05,Up,3,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_BASEMENT_MEMBRANE
